오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
2,조달업체 기본정보,corpBsnsDivNm,업체업무구분명,200,0,"물품,공사",업체업무구분명
2,조달업체 기본정보,hdoffceDivNm,본사구분명,100,1,본사,본사구분명
2,조달업체 기본정보,rgstDt,등록일시,19,0,2001-08-10 12:00:00,"등록일시  ""YYYY-MM-DD HH:MM:SS"""
2,조달업체 기본정보,chgDt,변경일시,19,0,2016-02-02 09:16:00,"변경일시  ""YYYY-MM-DD HH:MM:SS"""
2,조달업체 기본정보,esntlNoCertRgstYn,고유번호증명등록여부,1,0,N,"고유번호증명등록여부가 'Y'이면 해당 업체의 관련법규(조항조)를 알 수 있음
법령으로 지정된 비영리법인,사회복지사업,금융사업 등 등록여부
ex)장애인복지시설, 국민연금사업, 농업협동조합"
2,조달업체 기본정보,ceoNm,대표자명,35,0,권오현,대표자명
3,조달업체업종정보조회,resultCode,결과코드,2,1,00,결과코드
3,조달업체업종정보조회,resultMsg,결과메세지,50,1,정상.,결과메세지
3,조달업체업종정보조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
3,조달업체업종정보조회,pageNo,페이지 번호,4,1,1,페이지 번호
3,조달업체업종정보조회,totalCount,전체 결과 수,4,1,1,전체 결과 수
3,조달업체업종정보조회,bizno,사업자등록번호,10,1,3068134668,사업자등록번호
3,조달업체업종정보조회,indstrytyNm,업종명,200,0,토목공사업,업종명
3,조달업체업종정보조회,indstrytyCd,업종코드,4,0,0001,업종코드
3,조달업체업종정보조회,rgstDt,등록일시,19,0,2014-03-04 00:00:00,"등록일시
“YYYY-MM-DD HH:MM:SS”"
3,조달업체업종정보조회,vldPrdExprtDt,유효기간만료일시,19,0,2017-04-02 00:00:00,"유효기간만료일시
“YYYY-MM-DD HH:MM:SS”"
3,조달업체업종정보조회,systmRgstDt,시스템등록일시,19,0,2014-03-10 16:40:27,"시스템등록일시
“YYYY-MM-DD HH:MM:SS”"
3,조달업체업종정보조회,chgDt,변경일시,19,0,2015-07-31 17:36:49,"변경일시
“YYYY-MM-DD HH:MM:SS”"
3,조달업체업종정보조회,indstrytyStatsNm,업종상태명,200,0,업종폐업,업종상태명
3,조달업체업종정보조회,rprsntIndstrytyYn,대표업종여부,1,0,N,대표업종여부 [Y/N]
3,조달업체업종정보조회,systmChgDt,시스템변경일시,19,0,2014-03-10 16:40:27,"시스템변경일시
“YYYY-MM-DD HH:MM:SS”"
4,조달업체공급물품정보조회,resultCode,결과코드,2,1,00,결과코드
4,조달업체공급물품정보조회,resultMsg,결과메세지,50,1,정상.,결과메세지
4,조달업체공급물품정보조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
4,조달업체공급물품정보조회,pageNo,페이지 번호,4,1,1,페이지 번호
4,조달업체공급물품정보조회,totalCount,전체 결과 수,4,1,1,전체 결과 수
4,조달업체공급물품정보조회,bizno,사업자등록번호,10,1,1058634153,사업자등록번호
4,조달업체공급물품정보조회,dtilPrdctClsfcNoNm,세부품명,200,0,플라스틱골판지,세부품명번호 10자리에 대한 한글명
4,조달업체공급물품정보조회,dtilPrdctClsfcNo,세부품명번호,10,0,2414999801,품명에 대한 분류번호로서 10자리로 표시
4,조달업체공급물품정보조회,rgstDt,등록일시,19,0,2010-12-06 09:20:39,"조달업체에 대한 세부품명 등록일시
“YYYY-MM-DD HH:MM:SS”"
4,조달업체공급물품정보조회,chgDt,변경일시,19,0,2010-12-06 09:20:39,"조달업체에 대한 세부품명 변경일시
“YYYY-MM-DD HH:MM:SS”"
4,조달업체공급물품정보조회,rprsntPrdctClsfcNoNmYn,대표품명여부,1,0,N,조달업체에 대한 세부품명의 대표여부 [Y/N]
4,조달업체공급물품정보조회,mnfctYn,제조여부,1,0,Y,조달업체에 대한 세부품명의 제조물품여부[Y/N]
