공고번호,기초금액,log_기초금액,log_기초금액_norm,기초금액_norm,A값,A값/기초금액_norm,투찰률(%),투찰률_norm,참여업체수,log_참여업체수,log_참여업체수_norm,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20141025256-00,20523470.0,16.837079716009033,-1.2844106431624653,-0.4473121751755662,0.0,-0.024791695263956078,87.745,0.11333942152265358,789.0,6.673297967767654,-0.36446394635338253,+2% ~ -2%,,서울대학교 생명공학공동연구원 실험실 리노베이션 통신공사,서울대학교,서울
20141025021-00,38750000.0,17.47264133957008,-0.8088764632334103,-0.4161179636526544,0.0,-0.024791695263956078,87.745,0.11333942152265358,1715.0,7.448333860897476,1.0495446999330558,+2% ~ -2%,기,본관동 주차장 주차유도시스템 및 관제시스템 설치공사,한국방송통신대학교,서울/인천/경기
20141022182-00,127017000.0,18.659831501605325,0.07939224147550979,-0.265051388254438,0.0,-0.024791695263956078,87.745,0.11333942152265358,857.0,6.755768921984255,-0.21400040864696446,+2% ~ -2%,기,김포공항 주차대행 전용 임시주차장 조성 정보통신공사,한국공항공사,서울
20141022045-00,34100000.0,17.344807971579257,-0.904522791711339,-0.42407631247612987,0.0,-0.024791695263956078,87.745,0.11333942152265358,1640.0,7.403670290012373,0.9680585701094093,+2% ~ -2%,,동서울우편집중국 CCTV 증설 및 이설공사,과학기술정보통신부,서울/경기
20141015327-02,434500000.0,19.889706504971215,0.9995982127925693,0.26119742277538943,0.0,-0.024791695263956078,86.745,-0.34258916408631507,819.0,6.710523109452428,-0.2965488050443198,+2% ~ -2%,정,예술의전당 서예박물관 리모델링공사(보통신) (공고),예술의전당,서울
20141010194-00,29502000.0,17.199968649518137,-1.0128931616086008,-0.43194566471061163,0.0,-0.024791695263956078,87.745,0.11333942152265358,867.0,6.767343125265392,-0.19288393693452013,+2% ~ -2%,,다산관 및 하이테크관 공간변경 통신보수공사,서울과학기술대학교,서울
20141010131-00,14520000.0,16.491037636231447,-1.5433231239160687,-0.45758695117798986,0.0,-0.024791695263956078,87.745,0.11333942152265358,735.0,6.602587892189336,-0.49347043383816436,+2% ~ -2%,,이러닝 제작 공개 스튜디오 통신보수공사,서울과학기술대학교,서울
20140922963-00,471997000.0,19.972483189716083,1.0615326365182265,0.3253725208041762,0.0,-0.024791695263956078,86.745,-0.34258916408631507,831.0,6.725033642166843,-0.27007516827177286,+2% ~ -2%,기/협정,서울대학교 부설중학교 특별교실 증축 통신공사 (긴급공고),서울지방조달청/서울대학교,서울
20140913944-00,77550000.0,18.166433460481727,-0.2897735863000797,-0.3497128164804293,0.0,-0.024791695263956078,87.745,0.11333942152265358,973.0,6.882437470997847,0.01709911216939004,+2% ~ -2%,기,서울검찰청사 구치감 리모델링 통신공사 (긴급공고),대검찰청,서울
20140911660-00,21520000.0,16.88449333972626,-1.2489352496899861,-0.4456066411211451,0.0,-0.024791695263956078,87.745,0.11333942152265358,661.0,6.4967749901858625,-0.6865200198610271,+2% ~ -2%,,서울청사 별관 전관방송시스템 이전 설치공사,행정자치부,서울
20140908093-00,20270000.0,16.824652567762172,-1.293708771827498,-0.44774598220272455,0.0,-0.024791695263956078,87.745,0.11333942152265358,760.0,6.635946555686647,-0.43260946077629436,+2% ~ -2%,,중앙지검 CCTV 카메라(8대) 증설공사,대검찰청,서울
20140815133-00,135600000.0,18.7252199408452,0.12831658913601338,-0.2503618166518811,0.0,-0.024791695263956078,87.745,0.11333942152265358,108.0,4.700480365792417,-3.9637567939064406,+2% ~ -2%,,유치장 환경개선 통신공사 입찰공고,경찰청,서울
20140800226-00,506082000.0,20.042209271434125,1.1137024558721325,0.3837080734166838,0.0,-0.024791695263956078,86.745,-0.34258916408631507,833.0,6.727431724850855,-0.26570000361196694,+2% ~ -2%,기/협정,서울남부지방법원 광역등기소 통신공사,서울지방조달청/대법원,서울
20140722198-02,468000000.0,19.963978856018674,1.055169600738971,0.3185317637617179,0.0,-0.024791695263956078,85.495,-0.9124998960975259,650.0,6.480044561926653,-0.7170437290521758,+2% ~ -2%,정,수협중앙회 연수원 방송장비 교체공사 (공고),수협중앙회,서울/경기/충남/세종
20140724673-00,32000000.0,17.281246492014,-0.9520801880984721,-0.4276704054931833,0.0,-0.024791695263956078,87.745,0.11333942152265358,106.0,4.68213122712422,-3.9972337476304314,+2% ~ -2%,기,의원회관 방문객주차장 주차관제장치 설치공사,국회,서울
20140714475-01,61485710.0,17.93431536431787,-0.4634468925760523,-0.3772064129151536,0.0,-0.024791695263956078,87.745,0.11333942152265358,432.0,6.073044534100405,-1.459591994863572,+2% ~ -2%,기/정,서울광진경찰서 임시청사 정보통신장비 이설 및 선로설치공사 (정정공고),경찰청,서울
20140626512-00,666043000.0,20.31686479248643,1.3192027301567868,0.6574769844171041,0.0,-0.024791695263956078,86.745,-0.34258916408631507,811.0,6.70073110954781,-0.3144137486582875,+2% ~ -2%,기/협정,서울법원종합청사 어린이집 및 독신자숙소 신축 통신공사,서울지방조달청/대법원,서울
20140715221-00,28280000.0,17.157665434353323,-1.0445448913323827,-0.43403708455196366,0.0,-0.024791695263956078,87.745,0.11333942152265358,735.0,6.602587892189336,-0.49347043383816436,+2% ~ -2%,기,서울성북우체국 키폰교환 교체공사,과학기술정보통신부,서울
20140709331-02,87593000.0,18.28821165545439,-0.19865780470977848,-0.3325244944945876,0.0,-0.024791695263956078,87.745,0.11333942152265358,236.0,5.472270673671475,-2.555669532226212,+2% ~ -2%,기/정/협정,교사동(본관) 구조보강공사(전기) (긴급공고) (정정공고),서울특별시중부교육청,서울
20140711835-00,50000000.0,17.72753358339242,-0.6181632898086301,-0.3968638939184397,0.0,-0.024791695263956078,87.745,0.11333942152265358,883.0,6.785587645007929,-0.15959785445502145,+2% ~ -2%,기,국회 상임위원회 소회의실 음향설비 설치공사,국회,서울
20140709155-01,22506000.0,16.929292542724674,-1.2154159944839165,-0.4439191288759953,0.0,-0.024791695263956078,87.745,0.11333942152265358,786.0,6.669498089857879,-0.37139660620421433,+2% ~ -2%,정,수유2파출소 신축공사(통신) (긴급공고) (공고),경찰청,서울
20140705765-00,88550000.0,18.29907793348617,-0.19052753626504185,-0.3308866149625304,0.0,-0.024791695263956078,87.745,0.11333942152265358,944.0,6.852242569051878,-0.037989758944634695,+2% ~ -2%,,서울교육대학교 교내 주차장 CCTV 설치 공사,서울교육대학교,서울
20140700463-00,35876000.0,17.39557913409382,-0.8665352508728424,-0.42103673666742186,0.0,-0.024791695263956078,87.745,0.11333942152265358,944.0,6.852242569051878,-0.037989758944634695,+2% ~ -2%,,예일디자인고등학교 급식실 및 식당 증축 통신공사 (긴급공고),서울특별시교육청,서울
20140623916-00,76077000.0,18.147256556391863,-0.3041219563430292,-0.3522338160109625,0.0,-0.024791695263956078,87.745,0.11333942152265358,942.0,6.8501261661455,-0.04185101496538315,+2% ~ -2%,기/협정,공연 실황 중계 광케이블 공사,서울지방조달청/문화체육관광부,서울
20140624686-00,36033000.0,17.399945770957075,-0.8632680852623984,-0.42076803542757546,0.0,-0.024791695263956078,87.745,0.11333942152265358,930.0,6.837332814685591,-0.0651917527810743,+2% ~ -2%,,성보고등학교 우정관시청각실개선정보통신공사,서울특별시교육청,서울
20140607152-00,29149120.0,17.187935315932194,-1.0218966338235256,-0.4325496092553058,0.0,-0.024791695263956078,87.745,0.11333942152265358,860.0,6.759255270663693,-0.2076397649395011,+2% ~ -2%,,테니스경기장 사무공간 개보수 통신공사,서울올림픽기념국민체육진흥공단,서울
20140601741-00,44264000.0,17.605682286151804,-0.7093337673178699,-0.4066809022735913,0.0,-0.024791695263956078,87.745,0.11333942152265358,1546.0,7.344719054149673,0.8605054129485101,+2% ~ -2%,기,한국의집 고품격 공간조성(정보통신)공사(긴급) (긴급공고),한국문화재재단,서울/경기
20140529981-01,22000000.0,16.906553056777135,-1.2324299273602977,-0.44478513414581866,0.0,-0.024791695263956078,87.745,0.11333942152265358,806.0,6.694562058521095,-0.32566882931775354,+2% ~ -2%,정,서울도봉경찰서 창동지구대리모델링(통신설비공사) (긴급공고) (공고),경찰청,서울
20140527400-00,66600000.0,18.014215150525633,-0.4036649959002771,-0.368453444355065,0.0,-0.024791695263956078,87.745,0.11333942152265358,956.0,6.86484777797086,-0.014992276431005678,+2% ~ -2%,기/협정,서울과수 청사 재배치 리모델링 통신공사,서울지방조달청/안전행정부,서울
20140528867-01,50000000.0,17.72753358339242,-0.6181632898086301,-0.3968638939184397,0.0,-0.024791695263956078,87.745,0.11333942152265358,819.0,6.710523109452428,-0.2965488050443198,+2% ~ -2%,기/정,국회 상임위원회 소회의실 음향장비 설치공사 (정정공고),국회,서울
20140510536-00,1267530000.0,20.960335962577503,1.8006549195806423,1.686905663725872,0.0,-0.024791695263956078,86.745,-0.34258916408631507,726.0,6.590301048196686,-0.5158870777577385,+2% ~ -2%,의무,김포공항 비즈니스제트항공기 지원센터(FBO) 신축 정보통신공사,한국공항공사,전국/서울
20140517672-00,73420000.0,18.11170694965323,-0.33072056214389206,-0.3567811994139677,0.0,-0.024791695263956078,87.745,0.11333942152265358,836.0,6.731018100482083,-0.25915686645362424,+2% ~ -2%,기/협정,고정식 교통무인단속기 이전 설치,서울지방조달청/경찰청,서울
20140517741-00,414850000.0,19.84342756948508,0.9649718055040316,0.227566980972961,0.0,-0.024791695263956078,86.745,-0.34258916408631507,839.0,6.734591659972948,-0.25263711161014585,+2% ~ -2%,기,한국공항공사 서울지역본부 사무실 이전 정보통신공사,한국공항공사,서울
20140502897-00,205700000.0,19.141929359484635,0.44010314816569457,-0.1303875687969073,0.0,-0.024791695263956078,87.745,0.11333942152265358,876.0,6.777646593635117,-0.17408584836768623,+2% ~ -2%,,청운관(구관) 리모델링 통신공사 (긴급공고),서울과학기술대학교,서울
20140503715-00,11510000.0,16.258726867579036,-1.71714058986192,-0.4627384845024331,0.0,-0.024791695263956078,87.745,0.11333942152265358,596.0,6.393590753950631,-0.8747737555788382,+2% ~ -2%,기,경부선 구로역 역사개량에 따른 통신설비 개량타공사,한국철도공사,서울
20140436561-01,25149740.0,17.04035815624626,-1.1323154838703593,-0.4393944396031835,0.0,-0.024791695263956078,87.745,0.11333942152265358,861.0,6.760414691083428,-0.20552446871552138,+2% ~ -2%,기/정,체조경기장 시설환경개선 정보통신공사 (정정공고),서울올림픽기념국민체육진흥공단,서울
20140440006-00,28539000.0,17.166782165896475,-1.0377236527659075,-0.4335938130798604,0.0,-0.024791695263956078,87.745,0.11333942152265358,763.0,6.639875833826536,-0.4254407176087609,+2% ~ -2%,기,김포공항 레이더관제장비실 내부개량 정보통신공사,한국공항공사,서울
20140433347-00,45314000.0,17.629126615547772,-0.6917924628400558,-0.4048838557650646,0.0,-0.024791695263956078,87.745,0.11333942152265358,908.0,6.813444599510896,-0.10877443469399066,+2% ~ -2%,기,고궁박물관 사무공간 이전공사(통신),문화재청,서울
20140436244-00,41258000.0,17.535355615572815,-0.7619529538470077,-0.4118255897065735,0.0,-0.024791695263956078,87.745,0.11333942152265358,807.0,6.695798917058491,-0.32341225167842785,+2% ~ -2%,,입학관리본부 전산망 전용회선 구축 공사 (긴급공고),서울대학교,서울
20140428855-00,87710000.0,18.289546487328774,-0.1976590688560118,-0.3323242521693518,0.0,-0.024791695263956078,87.745,0.11333942152265358,1588.0,7.371489295214277,0.9093461862134236,+2% ~ -2%,기,경부선 남영역외 10개소 열차행선안내장치 보수공사,한국철도공사,서울/경기
20140431300-00,54283180.0,17.809724994751036,-0.5566667740520017,-0.3895333475714002,0.0,-0.024791695263956078,87.745,0.11333942152265358,848.0,6.745236349484363,-0.23321648459196834,+2% ~ -2%,,올림픽공원 플라자 편익시설 A-1동 개선 정보통신공사,서울올림픽기념국민체육진흥공단,서울
20140426790-00,57290000.0,17.863636663839813,-0.5163294717380342,-0.3843872567306685,0.0,-0.024791695263956078,87.745,0.11333942152265358,1498.0,7.313220387090301,0.8030378969750424,+2% ~ -2%,기,안산선 중앙역외 5개소 시각장애인용 음성유도 신설 공사,한국철도공사,서울/경기
20140421094-00,76890000.0,18.157886400013957,-0.29616859071770313,-0.35084238857150324,0.0,-0.024791695263956078,87.745,0.11333942152265358,1025.0,6.934397209928558,0.11189668316976165,+2% ~ -2%,기,(긴급)서울교육대학교 교내 CCTV 시스템 개선 공사 (긴급공고),서울교육대학교,서울/인천/경기
20140329498-00,760241000.0,20.449146047555935,1.418177016547791,0.8186943053791985,0.0,-0.024791695263956078,86.745,-0.34258916408631507,895.0,6.799055862058796,-0.1350258629784952,+2% ~ -2%,기/의무,경호종합훈련장 신축 통신공사,서울지방조달청/대통령경호실,전국/서울
20140406573-00,37946000.0,17.451674680759453,-0.8245639473950573,-0.4174939878363263,0.0,-0.024791695263956078,87.745,0.11333942152265358,852.0,6.74993119378857,-0.2246510097565903,+2% ~ -2%,기,김포공항 이동지역 주유소 신축 정보통신공사,한국공항공사,서울
20140406951-00,48337520.0,17.6937186493429,-0.6434639944712189,-0.399709183327483,0.0,-0.024791695263956078,87.745,0.11333942152265358,890.0,6.79346613258001,-0.14522400461744267,+2% ~ -2%,기,체육단체 이전 사무공간 개보수 통신공사,서울올림픽기념국민체육진흥공단,서울
20140313243-00,150916000.0,18.83223395522721,0.20838564882047836,-0.2241488982475048,0.0,-0.024791695263956078,87.745,0.11333942152265358,848.0,6.745236349484363,-0.23321648459196834,+2% ~ -2%,기/협정,국립전통예술고등학교 전공실 및 특별교실 증축 통신공사 (긴급공고),서울지방조달청/문화체육관광부,서울
20140310239-00,126600000.0,18.656543075573243,0.07693180503873794,-0.2657650724392529,0.0,-0.024791695263956078,87.745,0.11333942152265358,292.0,5.683579767338681,-2.170148180075968,+2% ~ -2%,기,국회 경비대 신축 주차관제장치 설치공사,국회,서울/인천/경기
20140237851-00,1053581000.0,20.77546067577062,1.6623292015986866,1.320737755675604,0.0,-0.024791695263956078,86.745,-0.34258916408631507,883.0,6.785587645007929,-0.15959785445502145,+2% ~ -2%,기/의무,성북세무서 청사신축 통신공사,서울지방조달청/국세청,전국/서울
20140306860-00,326289000.0,19.603294052751465,0.7853012736151116,0.07599723255235709,0.0,-0.024791695263956078,87.745,0.11333942152265358,876.0,6.777646593635117,-0.17408584836768623,+2% ~ -2%,기,김포공항 국내선 지하철 연결통로 개선 정보통신공사,한국공항공사,서울
20140305529-00,17400000.0,16.67198082165602,-1.4079394473301257,-0.4526579093260309,0.0,-0.024791695263956078,87.745,0.11333942152265358,650.0,6.480044561926653,-0.7170437290521758,+2% ~ -2%,기,성동구치소 근무자실 영상계호장비 설치,법무부,서울
20140236178-00,188424000.0,19.054205305835517,0.3744670487449135,-0.15995497401720013,0.0,-0.024791695263956078,87.745,0.11333942152265358,840.0,6.7357800142423265,-0.25046902723283204,+2% ~ -2%,,김포공항 국제선 4층 개량 및 기타 정보통신공사,한국공항공사,서울
20140234486-00,60000000.0,17.909855136853043,-0.4817483031350997,-0.3797491652658043,0.0,-0.024791695263956078,87.745,0.11333942152265358,942.0,6.8501261661455,-0.04185101496538315,+2% ~ -2%,기,국회 제3어린이집 신축 통신 인입 배관공사,국회,서울
20140230082-01,47500000.0,17.6762402900575,-0.6565414946555747,-0.40114257608159853,0.0,-0.024791695263956078,87.745,0.11333942152265358,382.0,5.950642552587727,-1.6829074073699302,+2% ~ -2%,정,전수회관 보안장비(CCTV) 개선 공사 업체선 입찰 변경공고(긴급) (공고),한국문화재재단,서울/경기
20140227820-00,200000000.0,19.11382792951231,0.41907734994041956,-0.14014296412890945,0.0,-0.024791695263956078,87.745,0.11333942152265358,870.0,6.77078942390898,-0.18659636222615542,+2% ~ -2%,기,방사선융합연구센터 신축공사 / 통신,한국원자력의학원,서울
20140227105-00,133243000.0,18.707685094302395,0.11519682456590837,-0.25439575819530724,0.0,-0.024791695263956078,87.745,0.11333942152265358,689.0,6.53813982376767,-0.6110522475225421,+2% ~ -2%,기,미술관(151동)오디토리엄 영상장비 구매 설치 (긴급공고),서울대학교,서울
20140219168-00,15320000.0,16.54466978755087,-1.503194959863912,-0.4562177728857791,0.0,-0.024791695263956078,87.745,0.11333942152265358,641.0,6.466144724237619,-0.7424031876895064,+2% ~ -2%,기,경의선 수색 운전신호실 개수에 따른 통신설비 신설 타공사,한국철도공사,서울
20140209645-00,24412000.0,17.01058541360998,-1.1545917765679183,-0.440657061594803,0.0,-0.024791695263956078,87.745,0.11333942152265358,763.0,6.639875833826536,-0.4254407176087609,+2% ~ -2%,,"aT센터 1, 2전시장 통신 간선케이블 교체 공사",농수산물유통공사,서울
20140207970-00,52961000.0,17.785066370471807,-0.5751166272843309,-0.39179622276439435,0.0,-0.024791695263956078,88.0,0.22960121085293853,452.0,6.118097198041348,-1.377395987020023,+2% ~ -2%,기,2014년 통신시설 유지보수 용역,서울과학기술대학교,서울
20140119866-00,38378000.0,17.46299496276842,-0.8160939881934024,-0.4167546315585325,0.0,-0.024791695263956078,87.745,0.11333942152265358,876.0,6.777646593635117,-0.17408584836768623,+2% ~ -2%,기,응급외상전용 중환자실 개설공사(통신),국립중앙의료원,서울
20140121509-01,66526000.0,18.013103421689642,-0.40449680361290163,-0.3685800933470945,0.0,-0.024791695263956078,87.745,0.11333942152265358,654.0,6.486160788944089,-0.7058850227755159,+2% ~ -2%,기/정,문화관(73동)중강당 인터넷방송 시스템 설치 공사 (긴급공고) (정정공고),서울대학교,서울
20140101958-00,97067000.0,18.390912029980896,-0.12181625769309037,-0.3163100005690809,0.0,-0.024791695263956078,87.745,0.11333942152265358,884.0,6.786716950605081,-0.1575375010019398,+2% ~ -2%,,미술관(151동)오디토리엄 음향설비 개선 공사 (긴급공고),서울대학교,서울
20131204897-00,4478688000.0,22.2225959835627,2.7450917163986164,7.182715446799794,0.0,-0.024791695263956078,86.745,-0.34258916408631507,410.0,6.021023349349527,-1.5545016702474515,+2% ~ -2%,기/의무,코레일유통(주) 본사사옥 건립공사(통신공사) (긴급공고),서울지방조달청/코레일유통,전국/서울
20131225790-00,12900000.0,16.372737946851277,-1.6318362494570056,-0.4603595372197168,0.0,-0.024791695263956078,85.0,-1.1381845459739675,514.0,6.246106765481563,-1.143849854805562,+2% ~ -2%,기,무인감시시스템 보강공사,한국방송공사,서울
20151220520-00,64317000.0,17.979334555504167,-0.42976303979417046,-0.37236073690646165,0.0,-0.024791695263956078,87.745,0.11333942152265358,998.0,6.907755278982137,0.06329000437469931,+2% ~ -2%,,"관악서울대학교치과병원 4층, 5층 내부재배치 공사(통신)",서울대학교치과병원,서울
20151221770-00,225753000.0,19.234952043639236,0.5097037410655719,-0.09606740342977764,0.0,-0.024791695263956078,87.745,0.11333942152265358,381.0,5.948034989180646,-1.6876647576243338,+2% ~ -2%,협정,행정관(60동) 로비 환경개선 전시공간조성 및 기타 통신공사 (긴급공고),서울대학교,서울/경기
20151221999-00,18436000.0,16.729815887064234,-1.3646666168436952,-0.4508848234376179,0.0,-0.024791695263956078,87.745,0.11333942152265358,1435.0,7.270312886079025,0.7247556161693374,+2% ~ -2%,기,(긴급)판교 IoT혁신센터 신규 구축공사(정보통신공사),한국인터넷진흥원,서울/경기
20151222168-00,10824000.0,16.197276541220045,-1.7631183982572194,-0.4639125548880039,0.0,-0.024791695263956078,87.745,0.11333942152265358,521.0,6.259581464064923,-1.119266038143817,+2% ~ -2%,기,영등포역파출소 청사 신축공사(통신) (긴급공고),경찰청,서울
20151220833-00,21142000.0,16.86677218860996,-1.2621944093860533,-0.44625357786421477,0.0,-0.024791695263956078,87.745,0.11333942152265358,794.0,6.679599185844383,-0.3529677344726014,+2% ~ -2%,,당산파출소 청사 신축공사(통신) (긴급공고),경찰청,서울
20151124438-00,1125554000.0,20.841541196724716,1.711771372391071,1.4439175922072163,0.0,-0.024791695263956078,86.745,-0.34258916408631507,850.0,6.747586526829315,-0.22892872048255425,+2% ~ -2%,기/의무,광복회관 재건축 건립사업 통신공사,서울지방조달청/국가보훈처,전국/서울
20151216443-00,89705000.0,18.312037077983273,-0.18083136216868392,-0.328909863803151,0.0,-0.024791695263956078,87.745,0.11333942152265358,910.0,6.815639990074331,-0.1047690702119186,+2% ~ -2%,기/연기,서울교대부설초등학교 가설교사 통신공사 (긴급공고),서울교육대학교,서울
20151216332-00,29387000.0,17.196062991677792,-1.015815417656387,-0.4321424840901169,0.0,-0.024791695263956078,87.745,0.11333942152265358,796.0,6.682108597449809,-0.348389456564936,+2% ~ -2%,기/정/연기/협정,용신지구대 신축공사 (통신) (긴급공고),경찰청,서울
20151204705-00,314056000.0,19.565081875104326,0.756710503047621,0.05506078499158827,0.0,-0.024791695263956078,87.745,0.11333942152265358,862.0,6.761572768804055,-0.2034116221692458,+2% ~ -2%,기/협정,네트워크 카메라(CCTV) 신규 설치 및 교체 공사,서울지방조달청/서울과학기술대학교,서울
20151126000-00,622088000.0,20.248592121403398,1.268120368586355,0.5822491946244455,0.0,-0.024791695263956078,86.745,-0.34258916408631507,845.0,6.741700694652055,-0.239667084554479,+2% ~ -2%,기/협정,서초동교사 증축 및 리모델링 정보통신공사,서울지방조달청/문화체육관광부,서울
20151118466-00,263979000.0,19.391380116280317,0.6267449412948581,-0.030644641682213758,0.0,-0.024791695263956078,87.745,0.11333942152265358,868.0,6.76849321164863,-0.19078567012611874,+2% ~ -2%,기/협정,"국립국악원 우면당 무대음향, 무대영상용 통신 공사",서울지방조달청/문화체육관광부,서울
