오퍼레이션 번호,오퍼레이션명(국문),항목명(영문),항목명(국문),항목크기,항목구분,샘플데이터,항목설명
1,입찰공고목록 정보에 대한 공사조회,subsiCnsttyIndstrytyEvlRt5,부공종업종평가비율5,20,0,30,공고의 부공종업종평가비율(%)
1,입찰공고목록 정보에 대한 공사조회,subsiCnsttyIndstrytyEvlRt6,부공종업종평가비율6,20,0,24.94,공고의 부공종업종평가비율(%)
1,입찰공고목록 정보에 대한 공사조회,subsiCnsttyIndstrytyEvlRt7,부공종업종평가비율7,20,0,33,공고의 부공종업종평가비율(%)
1,입찰공고목록 정보에 대한 공사조회,subsiCnsttyIndstrytyEvlRt8,부공종업종평가비율8,20,0,27,공고의 부공종업종평가비율(%)
1,입찰공고목록 정보에 대한 공사조회,subsiCnsttyIndstrytyEvlRt9,부공종업종평가비율9,20,0,32,공고의 부공종업종평가비율(%)
1,입찰공고목록 정보에 대한 공사조회,cmmnSpldmdMethdCd,공동수급방식코드,15,0,공500004,"공동수급이라 함은 구성원을 2인 이상으로 하여 수급인이 해당계약을 공동으로 수행하기 위하여 잠정적으로 결성한 실체를 의미하며 공동수급체가도급을 받아 이행하는 방식을 구분하는 코드로
 공500001 : 공동이행
 공500002 : 분담이행
 공500003 : 주계약자관리방식
 공500004 : 단독계약
 공500005 : 혼합방식
 공500006 : 공동이행 또는 분담이행
 공500007 : 혼합_단독
 공500008 : 혼합_공동
 공500012 : 해당없음으로 구분됨"
1,입찰공고목록 정보에 대한 공사조회,cmmnSpldmdMethdNm,공동수급방식명,100,0,공동수급불허,공동수급이라 함은 구성원을 2인 이상으로 하여 수급인이 해당계약을 공동으로 수행하기 위하여 잠정적으로 결성한 실체를 의미하며 공동수급체가도급을 받아 이행하는 방식을 구분하는 명임
1,입찰공고목록 정보에 대한 공사조회,stdNtceDocUrl,표준공고서URL,256,0,추후제공예정,공고의 표준공고문URL
1,입찰공고목록 정보에 대한 공사조회,brffcBidprcPermsnYn,지사투찰허용여부,1,0,N,지역제한 공고에 한해서 지사 투찰을 허용할지 여부. 투찰제어시 사용(Y/N)
1,입찰공고목록 정보에 대한 공사조회,cnsttyAccotShreRateList,공종별지분율목록,4000,0..n,"[전기공사업^100],","공고의 공종별지분율 목록
 [부업종코드명^부업종평가비율(%)],[부업종코드명^부업종평가비율(%)]"
1,입찰공고목록 정보에 대한 공사조회,cnstrtnAbltyEvlAmtList,시공능력평가금액목록,4000,0..n,"[1^토목공사업^0001^7400000000],","공고의 시공능력평가금액목록 [제한그룹번호^면허지역통합코드명^면허지역통합코드^시공능력평가금액],[제한그룹번호^면허지역통합코드명^면허지역통합코드^시공능력평가금액]"
1,입찰공고목록 정보에 대한 공사조회,dsgntCmptYn,지명경쟁여부,1,0,N,공고의 지명경쟁여부(Y/N)
1,입찰공고목록 정보에 대한 공사조회,arsltCmptYn,실적경쟁여부,1,0,N,공고의 실적경쟁여부(Y/N)
1,입찰공고목록 정보에 대한 공사조회,pqEvalYn,PQ심사여부,1,0,N,공고의 PQ심사여부(Y/N)
1,입찰공고목록 정보에 대한 공사조회,ntceDscrptYn,공고설명여부,1,0,N,공고의 공고설명여부(Y/N)
1,입찰공고목록 정보에 대한 공사조회,rsrvtnPrceReMkngMthdNm,예비가격재작성방법명,50,0,재입찰시 기존 예비가격을 사용하여 예정가격이 산정됩니다.,공고의 예비가격재작성방법명
1,입찰공고목록 정보에 대한 공사조회,mainCnsttyPresmptPrce,주공종추정가격,25,0,5000,"주공종에 대한 추정가격(원화,원)"
1,입찰공고목록 정보에 대한 공사조회,orderPlanUntyNo,발주계획통합번호,35,0,3-1-2016-Z005500-000007,업무구분코드(1)-업무유형코드(3)-발주년도(4)-기관코드(7)-발주계획순번(6) 로 구성됨
1,입찰공고목록 정보에 대한 공사조회,sucsfbidLwltRate,낙찰하한율,22,0,87.745,개찰시 사용하는 낙찰하한율(%)
1,입찰공고목록 정보에 대한 공사조회,rgstDt,등록일시,19,1,2002-09-18 10:00:00,공고의 등록일시 “YYYY-MM-DD HH:MM:SS”
1,입찰공고목록 정보에 대한 공사조회,bfSpecRgstNo,사전규격등록번호,10,0,338609,사전규격등록번호
1,입찰공고목록 정보에 대한 공사조회,sucsfbidMthdCd,낙찰방법코드,9,0,낙030022,낙찰방법명에 대한 코드 (한글 1자리 + 숫자 6자리)
1,입찰공고목록 정보에 대한 공사조회,sucsfbidMthdNm,낙찰방법명,200,0,제한적최저가(낙찰하한율),낙찰자를 결정하는 방법
1,입찰공고목록 정보에 대한 공사조회,chgDt,변경일시,19,0,2002-09-18 10:00,공고의 변경일시 “YYYY-MM-DD HH:MM:SS”
1,입찰공고목록 정보에 대한 공사조회,dminsttOfclEmailAdrs,수요기관담당자이메일주소,100,0,nskk22@kywa.or.kr,수요기관 담당자의 이메일주소
1,입찰공고목록 정보에 대한 공사조회,indstrytyLmtYn,업종제한여부,1,0,Y,"해당 공고 입찰 시 업종(면허)제한을 두는지의 여부
 예시)Y"
1,입찰공고목록 정보에 대한 공사조회,cnstrtsiteRgnNm,공사현장지역명,256,0,전라북도,"공사현장의 지역명
 나라장터 화면에서 “공사현장”"
1,입찰공고목록 정보에 대한 공사조회,rgnDutyJntcontrctYn,지역의무공동도급여부,1,0,Y,지역업체 참여가 일정 지분율 이상일 경우에만 입창이 가능한 공고 여부 ( Y:해당 N:공고서에의함)
1,입찰공고목록 정보에 대한 공사조회,chgNtceRsn,변경공고사유,4000,0,지역제한(강원도)으로 변경,"공고종류명(공고의 공고상태명) 이 변경일 경우  변경공고사유 , 취소일 경우 취소공고사유
 (연계공고건는 제외)"
1,입찰공고목록 정보에 대한 공사조회,rbidOpengDt,재입찰개찰일시,19,0,2016-05-10 11:00:00,"공고종류명이 ‘재입찰’ 일 경우 재입찰공고의 개찰을 수행할 수 있는 시작일시
 “YYYY-MM-DD HH:MM:SS”"
1,입찰공고목록 정보에 대한 공사조회,ciblAplYn,건설산업법적용대상여부,1,0,Y,건설산업기본법 적용 대상인지에 대한 여부
1,입찰공고목록 정보에 대한 공사조회,mtltyAdvcPsblYn,상호시장진출허용여부,1,0,Y,"건설업역(종합공사,전문공사)에 상호 진출 가능한지에 대한 여부"
1,입찰공고목록 정보에 대한 공사조회,mtltyAdvcPsblYnCnstwkNm,건설산업법적용대상공사명,100,0,종합공사,건설산업법 적용대상 공사명
1,입찰공고목록 정보에 대한 공사조회,VAT,부가가치세,25,0,0,부가가치세
1,입찰공고목록 정보에 대한 공사조회,indutyVAT,주공종부가가치세,25,0,0,주공종부가가치세
1,입찰공고목록 정보에 대한 공사조회,indstrytyMfrcFldEvlYn,주력분야평가여부,1,0,N,업종 주력분야 평가 대상 여부
1,입찰공고목록 정보에 대한 공사조회,bidWgrnteeRcptClseDt,입찰보증서접수마감일시,19,0,2002-09-18 10:00:00,입찰보증서접수마감일시
2,입찰공고목록 정보에 대한 용역조회,resultCode,결과코드,2,1,0,결과코드
2,입찰공고목록 정보에 대한 용역조회,resultMsg,결과메세지,50,1,정상.,결과메세지
2,입찰공고목록 정보에 대한 용역조회,numOfRows,한 페이지 결과 수,4,1,10,한 페이지 결과 수
2,입찰공고목록 정보에 대한 용역조회,pageNo,페이지 번호,4,1,1,페이지 수
2,입찰공고목록 정보에 대한 용역조회,totalCount,전체 결과 수,4,1,1,전체 결과 수
2,입찰공고목록 정보에 대한 용역조회,bidNtceNo,입찰공고번호,40,1,20160335295,"입찰공고 관리번호이며 조달청나라장터 공고건의 형식은 년도(4)+월(2)+순번(5)이며 자체전자조달시스템 보유기관은 각 기관별 형식 별도 사용
*차세대나라장터 번호체계 개편 : 테스트여부(1)+년도(2)+번호구분(2)+순번(8) 총 13자리 구성
(테스트여부 : T(모의)/R(실제), 번호구분 : BK(입찰공고번호)/TA(계약번호) 예시 : R24TA00000001 ☞ `24년 실제 계약번호이며 순번은 00000001)"
