,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
3,54,2128165721,(주)대원이엔씨,신종균,분석,647344320,87.895,88.122,-0.0635 (99.9365),,2024/01/22 11:59:20,
4,55,1098648080,유환이앤씨 주식회사,문지원,분석,647345000,87.895,88.122,-0.0634 (99.9366),,2024/01/24 16:59:17,
5,56,2158138510,신신이앤씨주식회사,하상청,분석,647408490,87.904,88.131,-0.0536 (99.9464),,2024/01/18 08:40:16,
6,57,2058139910,우현전기(주),채광식,분석,647409160,87.904,88.131,-0.0534 (99.9466),,2024/01/24 22:22:12,
7,58,1138607924,두성건설주식회사,안성병,분석,647421467,87.906,88.132,-0.0515 (99.9485),,2024/01/24 10:37:31,
8,59,2048131967,(주)용백전설,곽의영,분석,647439280,87.909,88.135,-0.0488 (99.9512),,2024/01/24 11:44:06,
9,60,1138634305,주식회사 다원이에스엘,정영구,분석,647445430,87.91,88.136,-0.0479 (99.9521),,2024/01/24 09:04:28,
10,61,1088174843,(주)영재전력,최권영,분석,647470000,87.913,88.139,-0.0441 (99.9559),,2024/01/24 17:13:07,
11,62,1168144224,제일정보건설 주식회사,김진철,분석,647484299,87.915,88.141,-0.0418 (99.9582),,2024/01/24 08:27:49,
12,63,5518600929,주식회사마글론이에프씨,김광석,분석,647485490,87.915,88.141,-0.0417 (99.9583),,2024/01/24 09:04:25,
13,64,1128126393,주식회사 승도이엔씨,신종성,분석,647486300,87.915,88.141,-0.0415 (99.9585),,2024/01/24 12:49:31,
14,65,1138174753,(주)대하전기종합공사,조성관,분석,647488218,87.916,88.141,-0.0412 (99.9588),,2024/01/25 09:04:39,
15,66,2108130492,명신정보통신(주),서철,분석,647495311,87.917,88.142,-0.0401 (99.9599),,2024/01/24 10:42:49,
16,67,2048620126,(주)상부사종합건설,이상만,분석,647506363,87.918,88.144,-0.0384 (99.9616),,2024/01/25 05:31:04,
17,68,2148186794,주식회사 리트코,정종경,분석,647507700,87.918,88.144,-0.0382 (99.9618),,2024/01/22 17:51:34,
18,69,1138137229,두복산전(주),이영두,분석,647534740,87.922,88.148,-0.0341 (99.9659),,2024/01/24 13:28:08,
19,70,1098154781,(주)공항엔지니어링,박필립,분석,647555580,87.925,88.151,-0.0308 (99.9692),,2024/01/25 09:45:27,
20,71,1058164176,(주)신보파워텍,공민우,분석,647559364,87.926,88.151,-0.0303 (99.9697),,2024/01/23 15:35:44,
21,72,2068183592,(주)신광티앤이,이일환,분석,647587220,87.93,88.155,-0.0260 (99.974),,2024/01/24 16:35:16,
22,73,2208818835,디오이앤씨 주식회사,김재윤,분석,647677979,87.942,88.167,-0.0119 (99.9881),,2024/01/23 09:05:01,
23,74,1068613530,주원이앤씨주식회사,주명원,분석,647700001,87.946,88.17,-0.0085 (99.9915),,2024/01/24 16:44:29,
24,75,2108124739,(주)한성기술개발,서창식,분석,647712309,87.947,88.172,-0.0066 (99.9934),,2024/01/23 21:48:56,
25,76,2068601047,왕건전기 주식회사,한미라,분석,647795870,87.959,88.183,0.0063 (100.0063),,2024/01/25 08:33:30,
26,77,2128153400,일렉파워주식회사,김성호,분석,647811203,87.961,88.185,0.0086 (100.0086),,2024/01/24 14:54:01,
27,78,1178124861,케이이피엔지니어링(주),박성진,분석,647823080,87.963,88.187,0.0105 (100.0105),,2024/01/24 11:05:24,
28,79,1078158651,동남아전설(주),박형규,분석,647862280,87.968,88.192,0.0165 (100.0165),,2024/01/24 18:25:51,
29,80,2018619407,주식회사 미래비엠,정정운,분석,647893680,87.973,88.197,0.0214 (100.0214),,2024/01/24 09:43:44,
30,81,1068685335,주식회사 부건이앤씨,송금화,분석,647916360,87.976,88.2,0.0249 (100.0249),,2024/01/22 11:45:13,
31,82,1058740405,(주)화성이엔지,김택환,분석,647922182,87.977,88.201,0.0258 (100.0258),,2024/01/23 17:30:41,
32,83,2068119300,주식회사 불꽃,김재윤,분석,647992480,87.987,88.21,0.0366 (100.0366),,2024/01/24 10:06:50,
33,84,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,647992600,87.987,88.21,0.0366 (100.0366),,2024/01/23 15:26:36,
34,85,2208869047,양지전기 주식회사,박승연,분석,647997970,87.988,88.211,0.0375 (100.0375),,2024/01/18 10:07:08,
35,86,2068801740,주식회사 이강물산,유미정,분석,648000948,87.988,88.211,0.0379 (100.0379),,2024/01/24 16:48:39,
36,87,1688801341,온누리이엔지 주식회사,전영선,분석,648015450,87.99,88.213,0.0401 (100.0401),,2024/01/25 09:30:54,
37,88,1528101202,주식회사 제이아이이엔씨,김미란,분석,648080906,87.999,88.222,0.0503 (100.0503),,2024/01/24 15:44:01,
38,89,2118603519,에쓰이씨 주식회사,이명규,분석,648088719,88.0,88.223,0.0515 (100.0515),,2024/01/24 14:44:23,
39,90,2042132768,진영전력,서재완,분석,648092541,88.001,88.224,0.0521 (100.0521),,2024/01/23 14:47:55,
40,91,2118691240,거성일렉콤(주),박성래,분석,648110679,88.003,88.226,0.0549 (100.0549),,2024/01/17 17:49:59,
41,92,2098211809,사단법인 해오름장애인협회,노영주,분석,648118569,88.005,88.227,0.0561 (100.0561),,2024/01/25 09:26:13,
42,93,1018662695,주식회사 메가시스템,김대석,분석,648121848,88.005,88.228,0.0566 (100.0566),,2024/01/24 10:39:39,
43,94,2068125141,주식회사 스테이지넷,임영규,분석,648152453,88.009,88.232,0.0613 (100.0613),,2024/01/23 17:07:15,
44,95,2078138843,문화전기(주),조창일,분석,648216265,88.018,88.241,0.0712 (100.0712),,2024/01/24 21:35:06,
45,96,2048600042,(주)마하에이스,주기환,분석,648256266,88.024,88.246,0.0773 (100.0773),,2024/01/25 08:34:46,
46,97,1108160551,주식회사 효산이엔지,서영종,분석,648257040,88.024,88.246,0.0774 (100.0774),,2024/01/24 09:58:42,
47,98,5538801044,주식회사문장전력,이주선,분석,648282000,88.028,88.25,0.0813 (100.0813),,2024/01/23 13:59:47,
48,99,2078149656,코리아데이타코퍼레이션(주),이기철,분석,648309550,88.032,88.253,0.0856 (100.0856),,2024/01/23 11:10:34,
49,100,2208106252,주식회사 중선아이티씨,김학선,분석,648329620,88.034,88.256,0.0887 (100.0887),,2024/01/24 11:06:00,
0,101,1358131171,(주)금성전기통신공사,김윤환,분석,648344780,88.037,88.258,0.0910 (100.091),,2024/01/23 13:51:32,
1,102,2128144594,세화일렉스 (주),김성애,분석,648349700,88.037,88.259,0.0918 (100.0918),,2024/01/23 16:18:57,
2,103,2018190031,주식회사 태건씨앤씨,김복수,분석,648421270,88.047,88.269,0.1028 (100.1028),,2024/01/24 09:57:36,
3,104,2098137549,에너지기술서비스 (주),박성덕,분석,648453140,88.052,88.273,0.1077 (100.1077),,2024/01/24 17:12:40,
4,105,2158190836,대원일렉콘 주식회사,박윤섭,분석,648471770,88.054,88.275,0.1106 (100.1106),,2024/01/24 14:56:19,
5,106,2098111933,건양전기(주),홍순문,분석,648478862,88.055,88.276,0.1117 (100.1117),,2024/01/25 12:13:20,
6,107,1058130768,세원전설 주식회사,최영래,분석,648485728,88.056,88.277,0.1128 (100.1128),,2024/01/24 15:56:36,
7,108,2128608220,주식회사 대광전기,최흥선,분석,648514035,88.06,88.281,0.1171 (100.1171),,2024/01/22 11:51:20,
8,109,1198188750,한솔코에버 주식회사,반기동,분석,648516820,88.061,88.282,0.1176 (100.1176),,2024/01/24 17:24:20,
9,110,1198153514,다린전력(주),오승한,분석,648517300,88.061,88.282,0.1176 (100.1176),,2024/01/24 12:55:55,
10,111,1378148528,(주)동원일렉콤,김영수,분석,648527185,88.062,88.283,0.1192 (100.1192),,2024/01/24 16:20:09,
11,112,2148671831,용우이엔씨 주식회사,이삼주,분석,648545300,88.065,88.285,0.1219 (100.1219),,2024/01/23 15:55:56,
12,113,2038149028,대륭중공건설(주),박임우,분석,648577580,88.069,88.29,0.1269 (100.1269),,2024/01/24 18:39:39,
13,114,2048162437,다남전기(주),이병근,분석,648642210,88.078,88.299,0.1369 (100.1369),,2024/01/22 13:12:16,
14,115,1098195477,프라임방재주식회사,김회택,분석,648727000,88.09,88.31,0.1500 (100.15),,2024/01/24 08:07:35,
15,116,1188111165,주식회사 세원이엔피디,이왕종,분석,648739000,88.092,88.312,0.1519 (100.1519),,2024/01/23 15:11:59,
16,117,2068196840,주식회사 혜성이티에스,이상영,분석,648741860,88.093,88.312,0.1523 (100.1523),,2024/01/23 16:19:32,
17,118,2108156191,스마트전력주식회사,김재만,분석,648769180,88.096,88.316,0.1565 (100.1565),,2024/01/24 21:38:09,
18,119,1188117437,탑인더스트리(주),이정임,분석,648790180,88.099,88.319,0.1598 (100.1598),,2024/01/24 10:29:56,
19,120,2108146034,세현전력주식회사,김홍만,분석,648791480,88.1,88.319,0.1600 (100.16),,2024/01/23 13:28:50,
20,121,1178158978,주식회사 화일이엔에프,박광섭,분석,648819490,88.104,88.323,0.1643 (100.1643),,2024/01/23 13:36:46,
21,122,1178133716,청용파워텍주식회사,박대석,분석,648835100,88.106,88.325,0.1667 (100.1667),,2024/01/24 09:35:09,
22,123,1128148285,(주)백제이앤씨,손흥도,분석,648847310,88.107,88.327,0.1686 (100.1686),,2024/01/22 07:43:53,
23,124,1138142173,(주)오무전기,강인순,분석,648865961,88.11,88.329,0.1715 (100.1715),,2024/01/24 16:45:54,
24,125,1322305844,서은전기,전명선,분석,648871791,88.111,88.33,0.1724 (100.1724),,2024/01/24 19:44:35,
25,126,1108154781,(주)태경전업,정우용,분석,648874381,88.111,88.33,0.1728 (100.1728),,2024/01/22 13:58:55,
26,127,2098127546,주식회사 삼일신호공사,정재원,분석,648878400,88.112,88.331,0.1734 (100.1734),,2024/01/25 00:21:50,
27,128,1198153552,태양이앤드(주),조동학,분석,648882819,88.112,88.331,0.1741 (100.1741),,2024/01/22 11:15:28,
28,129,2208735083,주식회사 강남전기공사,나중안,분석,648884687,88.113,88.332,0.1743 (100.1743),,2024/01/22 10:29:48,
29,130,1308188892,(주) 거승이엔씨,김주완,분석,648928792,88.119,88.338,0.1811 (100.1811),,2024/01/19 13:32:50,
30,131,8038600460,주식회사 파르이앤씨,김종훈,분석,648941100,88.121,88.339,0.1831 (100.1831),,2024/01/25 08:41:25,
31,132,2178114305,주식회사 광문정보통신,서정만,분석,648957320,88.123,88.341,0.1856 (100.1856),,2024/01/23 14:11:40,
32,133,2118891040,주식회사 동일전기,정오성,분석,648989200,88.127,88.346,0.1905 (100.1905),,2024/01/22 14:03:54,
33,134,1058641085,(주)에스엠전력,김동율,분석,649026220,88.133,88.351,0.1962 (100.1962),,2024/01/24 11:21:59,
34,135,1218199565,주식회사 복성전력,서수완,분석,649078900,88.14,88.358,0.2043 (100.2043),,2024/01/25 08:51:50,
35,136,2218600483,주식회사 영이엔앨,박영락,분석,649086845,88.141,88.359,0.2056 (100.2056),,2024/01/24 12:57:08,
36,137,1198142899,대광건설전력(주),정원영,분석,649117940,88.146,88.363,0.2104 (100.2104),,2024/01/25 09:44:46,
37,138,2098124011,(주)주암전기통신,정한석,분석,649119880,88.146,88.364,0.2107 (100.2107),,2024/01/22 09:17:44,
38,139,2018168000,(주)중부전기건설,조중건,분석,649138018,88.148,88.366,0.2135 (100.2135),,2024/01/23 17:12:32,
39,140,2178146603,주식회사 경일이엔지,최규선,분석,649146439,88.15,88.367,0.2148 (100.2148),,2024/01/25 09:09:56,
40,141,1138672838,주식회사 현대전기건설공사,이덕하,분석,649151620,88.15,88.368,0.2156 (100.2156),,2024/01/23 13:43:22,
41,142,1208149780,장학건설(주),정세학,분석,649165230,88.152,88.37,0.2177 (100.2177),,2024/01/23 13:12:09,
42,143,1198118405,우광기전(주),이기진,분석,649175540,88.154,88.371,0.2192 (100.2192),,2024/01/23 08:23:10,
43,144,1018174274,엠버전기주식회사,지성일,분석,649180120,88.154,88.372,0.2199 (100.2199),,2024/01/23 14:03:13,
44,145,4948800839,해빛들에너지 주식회사,이영이,분석,649185304,88.155,88.373,0.2208 (100.2208),,2024/01/23 13:07:56,
45,146,2298139274,(주)영풍전력설비,심문수,분석,649191600,88.156,88.373,0.2217 (100.2217),,2024/01/23 09:24:11,
46,147,2048191738,(주)동양전설,김상필,분석,649216396,88.16,88.377,0.2256 (100.2256),,2024/01/23 10:26:12,
47,148,2120484902,삼구전력,구흥모,분석,649250079,88.164,88.381,0.2308 (100.2308),,2024/01/23 10:48:46,
48,149,2118743406,보성통신기술(주),오영배,분석,649275300,88.168,88.385,0.2346 (100.2346),,2024/01/24 15:43:35,
49,150,5898600943,보양전설 주식회사,김병기,분석,649275340,88.168,88.385,0.2346 (100.2346),,2024/01/25 09:53:19,
0,151,4078131697,호진엔지니어링 주식회사,이동성,분석,649280200,88.169,88.385,0.2354 (100.2354),,2024/01/24 14:43:40,
1,152,2208165402,서전엔지니어링(주),유경하,분석,649281171,88.169,88.386,0.2356 (100.2356),,2024/01/23 16:44:51,
2,153,2048614677,주식회사태백건설기전,김영배,분석,649285058,88.169,88.386,0.2362 (100.2362),,2024/01/23 17:02:31,
3,154,1238128751,세종텔레콤 주식회사,이병국,분석,649295420,88.171,88.388,0.2377 (100.2377),,2024/01/25 08:35:45,
4,155,1178186611,주식회사 에프에이일렉콤,박인숙,분석,649312038,88.173,88.39,0.2403 (100.2403),,2024/01/25 08:38:43,
5,156,2128193907,대양전설 주식회사,김삼래,분석,649314855,88.173,88.39,0.2408 (100.2408),,2024/01/24 15:44:23,
6,157,2048161869,(주)근영이엔씨,이성영,분석,649343681,88.177,88.394,0.2452 (100.2452),,2024/01/24 10:48:58,
7,158,8358600526,주식회사두성인프라,김상현,분석,649351360,88.179,88.395,0.2464 (100.2464),,2024/01/24 15:22:32,
8,159,5348101122,주식회사 삼우이앤씨,홍성욱,분석,649352425,88.179,88.395,0.2466 (100.2466),,2024/01/24 08:33:30,
9,160,1098603593,주식회사 완일이씨에스,김경창,분석,649373274,88.182,88.398,0.2498 (100.2498),,2024/01/18 08:34:58,
10,161,1178120962,에스엠파워텍 주식회사,신현칠,분석,649382870,88.183,88.399,0.2513 (100.2513),,2024/01/24 17:20:53,
11,162,6218602134,(주)플러스전력,이하일,분석,649398410,88.185,88.402,0.2536 (100.2536),,2024/01/22 17:10:33,
12,163,1068656091,주식회사 케이에스메이트,곽현구,분석,649407225,88.186,88.403,0.2550 (100.255),,2024/01/25 09:47:14,
13,164,2128197392,금수티아이주식회사,이형주,분석,649413390,88.187,88.404,0.2560 (100.256),,2024/01/24 09:04:10,
14,165,1398115682,백상건설 주식회사,김중권,분석,649414000,88.187,88.404,0.2561 (100.2561),,2024/01/19 09:39:14,
15,166,1208717179,에스엠에스전기(주),김진태,분석,649444406,88.192,88.408,0.2608 (100.2608),,2024/01/25 09:01:44,
16,167,1388113508,(주)이엔티파워,장정수,분석,649465540,88.195,88.411,0.2640 (100.264),,2024/01/24 14:11:12,
17,168,1408169475,주식회사 제이앤제이파워스,박재옥,분석,649480900,88.197,88.413,0.2664 (100.2664),,2024/01/24 14:43:43,
18,169,1248639130,케이씨솔라앤에너지 주식회사,김용학,분석,649494290,88.199,88.415,0.2685 (100.2685),,2024/01/25 11:16:02,
19,170,2178139704,주식회사 나노이에프,김주영,분석,649508370,88.201,88.417,0.2706 (100.2706),,2024/01/24 09:21:46,
20,171,1108166458,(주)세환전기,김종원,분석,649509181,88.201,88.417,0.2708 (100.2708),,2024/01/23 13:08:04,
21,172,2158769714,주식회사 누리엔에스,박봉기,분석,649524728,88.203,88.419,0.2732 (100.2732),,2024/01/22 14:43:55,
22,173,1198625634,주식회사 영은전력,정춘근,분석,649546750,88.206,88.422,0.2765 (100.2765),,2024/01/21 08:31:49,
23,174,2068656936,(주)한양이엔아이,안원준,분석,649551000,88.207,88.422,0.2772 (100.2772),,2024/01/24 14:05:40,
24,175,1098611773,주식회사상현엔지니어링,이재권,분석,649573957,88.21,88.425,0.2808 (100.2808),,2024/01/25 09:09:57,
25,176,2128140491,(주)벧엘정보통신,이효진,분석,649580435,88.211,88.426,0.2818 (100.2818),,2024/01/25 08:00:36,
26,177,1358178502,주식회사 디알네트웍스,이기영,분석,649638732,88.219,88.434,0.2908 (100.2908),,2024/01/23 10:52:13,
27,178,2948601665,누리종합전기 주식회사,천금진,분석,649663445,88.223,88.438,0.2946 (100.2946),,2024/01/23 23:07:39,
28,179,1108609224,주식회사 두루스코,김옥연,분석,649686732,88.226,88.441,0.2982 (100.2982),,2024/01/25 09:11:39,
29,180,1093774601,선우전기,조남국,분석,649703508,88.228,88.443,0.3008 (100.3008),,2024/01/23 17:50:34,
30,181,1108146506,삼보신호(주),김샛별,분석,649730070,88.232,88.447,0.3049 (100.3049),,2024/01/23 10:13:05,
31,182,2158745177,주식회사 티에이치이앤씨,권태국,분석,649742380,88.234,88.448,0.3068 (100.3068),,2024/01/24 20:04:11,
32,183,2188101953,주식회사 비츠로시스,이기재,분석,649744546,88.234,88.449,0.3071 (100.3071),,2024/01/24 11:11:36,
33,184,2198125754,알티엘산업 주식회사,이근태,분석,649752830,88.235,88.45,0.3084 (100.3084),,2024/01/24 16:44:05,
34,185,1018116968,(주)넥슨정보통신,신양인,분석,649774110,88.238,88.453,0.3116 (100.3116),,2024/01/23 09:27:01,
35,186,2068685673,주식회사 에이티기전,한상연,분석,649793550,88.241,88.455,0.3147 (100.3147),,2024/01/23 13:28:30,
36,187,2208658565,주식회사 주인정보시스템,김근호,분석,649829500,88.246,88.46,0.3202 (100.3202),,2024/01/24 17:17:34,
37,188,1168111572,남성기전(주),최전남,분석,649833059,88.247,88.461,0.3208 (100.3208),,2024/01/23 12:24:13,
38,189,2128134820,(주)명지건업,윤명칠,분석,649838245,88.247,88.461,0.3216 (100.3216),,2024/01/24 10:44:08,
39,190,1138165967,주식회사 다솔이앤씨,김선경,분석,649859620,88.25,88.464,0.3249 (100.3249),,2024/01/24 14:26:42,
40,191,1138183325,주식회사금강전력,오영선,분석,649862930,88.251,88.465,0.3254 (100.3254),,2024/01/23 16:10:27,
41,192,1058153698,진우에이티에스 주식회사,정진태,분석,649870629,88.252,88.466,0.3266 (100.3266),,2024/01/23 20:42:56,
42,193,2048183602,(주)한미엔지니어링,김순영,분석,649884790,88.254,88.468,0.3287 (100.3287),,2024/01/24 22:05:09,
43,194,6458800418,청명이엔지 주식회사,김형준,분석,649886823,88.254,88.468,0.3291 (100.3291),,2024/01/24 15:24:49,
44,195,2108108684,주식회사 대금이앤아이,김종우,분석,649888770,88.254,88.468,0.3294 (100.3294),,2024/01/19 16:08:09,
45,196,2048119395,(주)신해전기건설,이세윤,분석,649904960,88.257,88.47,0.3319 (100.3319),,2024/01/23 16:37:12,
46,197,1138800376,삼광컴퍼니 주식회사,이정임,분석,649922660,88.259,88.473,0.3346 (100.3346),,2024/01/19 15:37:31,
47,198,1208137120,(주)지티일렉콘,고광열,분석,649923100,88.259,88.473,0.3347 (100.3347),,2024/01/23 15:49:50,
48,199,2078136393,삼언전공 주식회사,공석복,분석,649938990,88.262,88.475,0.3371 (100.3371),,2024/01/25 09:44:33,
49,200,1858801633,삼보종합이앤씨주식회사,공갑배,분석,649967568,88.266,88.479,0.3415 (100.3415),,2024/01/24 10:17:41,
0,201,2160259319,다산전력공사,박은영,분석,649988530,88.268,88.482,0.3448 (100.3448),,2024/01/23 15:58:38,
1,202,1208645800,이루자주식회사,김철성,분석,649999797,88.27,88.483,0.3465 (100.3465),,2024/01/19 19:11:36,
2,203,1138151366,(주)하나일렉스,안희정,분석,650022848,88.273,88.487,0.3500 (100.35),,2024/01/24 11:50:56,
3,204,2018148227,삼대전기(주),이정범,분석,650027460,88.274,88.487,0.3508 (100.3508),,2024/01/22 10:27:30,
4,205,1188113673,동해정보통신 주식회사,이창원,분석,650052648,88.278,88.491,0.3547 (100.3547),,2024/01/23 16:03:55,
5,206,2178120694,주식회사 성원이엘피,경혜경,분석,650052650,88.278,88.491,0.3547 (100.3547),,2024/01/24 11:14:38,
6,207,2068606585,(주)상지일렉스,정원상,분석,650072832,88.28,88.493,0.3578 (100.3578),,2024/01/23 19:12:59,
7,208,3138111440,선영기전주식회사,이두경,분석,650118720,88.287,88.5,0.3649 (100.3649),,2024/01/23 09:12:57,
8,209,7408600077,주식회사 선연이엔지,장호순,분석,650158880,88.293,88.505,0.3711 (100.3711),,2024/01/24 19:17:44,
9,210,2208102464,대원전력(주),조현수,분석,650163421,88.293,88.506,0.3718 (100.3718),,2024/01/25 12:47:53,
10,211,1098135727,삼호전설(주),이돈수,분석,650170540,88.294,88.507,0.3729 (100.3729),,2024/01/24 12:10:59,
