공고번호,입찰년도,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),Unnamed: 0
20141211112-00,2014,풍납동 미래마을 부지 역사문화공원 자가망 설치공사,서울특별시,서울,46826200.0,47290750.0,+3% ~ -3%,0.0,87.745,912.0,기,0.99207,
20141211237-00,2014,방범 및 교통관리를 위한 CCTV 설치 공사 (긴급공고),서울대학교,서울/경기,138244000.0,137984500.0,+2% ~ -2%,0.0,87.745,1615.0,,-0.18772,
20141213117-00,2014,경부선 신도림역 역무자동화설비 신설 공사,한국철도공사,서울,84400000.0,82577000.0,+0% ~ -4%,0.0,87.745,825.0,기,-2.15996,
20141212712-00,2014,경부선 영등포역외 2개소 광전송망 전원설비 보수공사,한국철도공사,서울/경기,9780000.0,9649175.0,+0% ~ -4%,0.0,87.745,682.0,기,-1.33768,
20141204829-00,2014,옥수 금호터널 보도차단벽 설치 통신공사,서울특별시,서울,174210000.0,174954350.0,+3% ~ -3%,0.0,87.745,899.0,기,0.42727,
2014-16264,2014,14-경기남 통신공사(1259),국군재정관리단,서울,19529640.0,19423118.0,0% ~ -3%,0.0,87.745,530.0,,-0.54544,
20141206351-00,2014,대림2동 주거환경관리사업 주민공동이용시설 통신공사,서울특별시,서울,77352000.0,77648100.0,+3% ~ -3%,0.0,87.745,983.0,,0.38279,
20141126876-01,2014,"목공예 체험관 및 목공소 신축 전기,통신공사 (정정공고)",서울특별시,서울,103812500.0,103172800.0,+3% ~ -3%,0.0,87.745,384.0,기/정/협정,-0.61621,
20141125678-03,2014,2015년 KAIST 경영대학 통합 전산장비 유지보수 용역 (정정공고),한국과학기술원,서울,69696000.0,69594125.0,+2% ~ -2%,0.0,87.995,13.0,기/정,-0.14618,
20141202954-00,2014,남가좌1동 주민센터 신축 통신공사,서울특별시,서울,179245000.0,180318700.0,+3% ~ -3%,0.0,87.745,931.0,기,0.59901,
20141114191-00,2014,서울강남경찰서 신축공사(통신),서울지방조달청/경찰청,전국/서울,1306171000.0,1302157825.0,+2% ~ -2%,0.0,86.745,801.0,기/의무,-0.30725,
2014-16304,2014,00지역 체육관 신축 통신공사,제7135부대,서울,66413601.0,66341353.0,+3% ~ -3%,0.0,87.745,699.0,,-0.10879,
20141206636-00,2014,행정정보통신망 설치공사,서울특별시,서울,38000000.0,37989300.0,+3% ~ -3%,0.0,87.745,939.0,기,-0.02816,
20141207048-00,2014,경기도미술관 CCTV개선(교체) 공사,(재)경기문화재단,서울/경기,32998000.0,33537875.0,+3% ~ -3%,0.0,87.745,1278.0,,1.63608,
20141206221-00,2014,서울공고 금속동 개축 통신공사,서울특별시교육청,서울,70345000.0,70294225.0,+3% ~ -3%,0.0,87.745,987.0,,-0.07218,
20141204517-00,2014,구립 태성어린이집 리모델링 정보통신공사,서울특별시,서울,19657000.0,19667850.0,+3% ~ -3%,0.0,87.745,762.0,기,0.05519,
20141201953-00,2014,신정4동 통합청사 건립 정보통신공사,서울특별시,서울,124630000.0,123138550.0,+3% ~ -3%,0.0,87.745,937.0,,-1.19671,
20141124779-00,2014,논현파출소 신축공사 (통신),서울지방조달청/경찰청,서울,120568000.0,120552675.0,+2% ~ -2%,0.0,87.745,881.0,기/협정,-0.01272,
20141204169-00,2014,구립 신당동 어린이집 본관신축 통신공사,서울특별시,서울,40260000.0,39983550.0,+3% ~ -3%,0.0,87.745,938.0,,-0.68667,
20141201793-00,2014,GKL 직장어린이집 설치공사(통신),그랜드코리아레저(주),서울,74217000.0,74502050.0,+2% ~ -2%,0.0,87.745,903.0,기,0.38407,
20141200069-00,2014,임차청사 정보통신망 설치공사,서울특별시,서울,298848000.0,298646300.0,+3% ~ -3%,0.0,87.745,923.0,,-0.06750,
20141203840-00,2014,잣향기푸른숲 방송장비 및 CCTV 설치공사 (긴급공고),경기도산림환경연구소,서울/경기,83820000.0,84185075.0,+3% ~ -3%,0.0,87.745,672.0,,0.43554,
20141206110-00,2014,2014년 옥수역외 1역 석면 제거에 따른 정보통신공사,서울교통공사,서울,56357000.0,56444950.0,+3% ~ -3%,0.0,87.745,910.0,,0.15605,
20141205040-00,2014,경부선 구로~가산디지털단지간 철도횡단 하수암거 설치에 따른 지장통신선로 복구공사,한국철도공사,서울,19700000.0,19469650.0,+0% ~ -4%,0.0,87.745,736.0,기,-1.16929,
20141204998-00,2014,경인선 부평역외 2개역 고객안내부스 설치에 따른 통신설비 신설공사,한국철도공사,서울/인천,24900000.0,24453650.0,+0% ~ -4%,0.0,87.745,992.0,기,-1.79258,
20141202977-00,2014,여직원침실 및 타공사에 따른 정보통신공사,서울교통공사,서울,4812170.0,4728675.0,+3% ~ -3%,0.0,87.745,339.0,기,-1.73509,
20141202590-01,2014,방배1동 공영주차장 건립공사(통신)-장기계속 (정정공고),서울특별시,서울,78800000.0,77667700.0,+3% ~ -3%,0.0,87.745,979.0,기/정,-1.43693,
20141202470-00,2014,2014년도 자가정보통신망 공사(4차),서울특별시,서울,44154000.0,44496825.0,+3% ~ -3%,0.0,87.745,927.0,,0.77643,
20141126974-00,2014,미래관 공간변경에 따른 통신보수 및 기타공사,서울과학기술대학교,서울,18700000.0,18807025.0,+2% ~ -2%,0.0,87.745,766.0,,0.57232,
20141200861-00,2014,노후 LAN설비 개선 공사,서울특별시,서울,30775000.0,30598800.0,+3% ~ -3%,0.0,87.745,855.0,기,-0.57255,
20141201376-00,2014,경인선 오류동 철도직원자녀숙사 영상감시설비 신설공사,한국철도공사,서울,29000000.0,28277300.0,+0% ~ -4%,0.0,87.745,787.0,기,-2.49207,
20141126319-00,2014,창동지하차도 장애인 이동 편의시설 설치공사(통신),서울특별시,서울,33759000.0,34051500.0,+3% ~ -3%,0.0,87.745,865.0,기,0.86643,
2014-15473,2014,00지역 유류저장시설 보수 통신공사,제7789부대,서울/인천/경기,63468000.0,62813596.0,+3% ~ -3%,0.0,87.745,1684.0,,-1.03108,
20141120955-00,2014,방범용 CCTV 설치 정보통신 공사,서울특별시,서울,41503000.0,41933300.0,+3% ~ -3%,0.0,87.745,933.0,기,1.03679,
20141126767-00,2014,정부서울청사 본관 통제식 회전문 설치 통신공사 (긴급공고),행정자치부,서울,28413000.0,28519525.0,+2% ~ -2%,0.0,87.745,817.0,기,0.37491,
20141124411-00,2014,서울약현성당 방범방재시설 구축사업(긴급) (긴급공고),서울특별시,서울,144000000.0,145872075.0,+3% ~ -3%,0.0,87.745,464.0,기,1.30005,
20141125075-00,2014,서계 노인여가 복합센터 조성공사(통신),서울특별시,서울,26175000.0,26040725.0,+3% ~ -3%,0.0,87.745,846.0,기,-0.51299,
20141106575-00,2014,광진경찰서 청사 신축공사-통신,서울지방조달청/경찰청,전국/서울,1391886000.0,1408651300.0,+2% ~ -2%,0.0,86.745,764.0,기/의무,1.20450,
20141123591-00,2014,유무선 측정시설 챔버 및 차폐실 철거 용역,과학기술정보통신부,서울/경기,8600000.0,8570125.0,+2% ~ -2%,0.0,88,126.0,기,-0.34739,
20141121207-00,2014,원내시설재배치공사 (긴급공고),한국보훈복지의료공단,서울,0.0,162915000.0,,0.0,-,77.0,,-,
20141124936-00,2014,신설 서비스센터 조성에 따른 전자공사,서울교통공사,서울,28595600.0,28664775.0,+3% ~ -3%,0.0,87.745,757.0,기,0.24190,
20141124156-00,2014,"2014년 신설 서비스센터 조성 정보통신공사(시청(1),충정로,당산)",서울교통공사,서울,30807200.0,31146375.0,+3% ~ -3%,0.0,87.745,855.0,,1.10096,
20141120648-00,2014,마포.서강대교 cctv 영상감시출동시스템 유지관리,서울특별시,서울,90500000.0,90358375.0,+3% ~ -3%,0.0,87.745,55.0,,-0.15650,
20141121275-00,2014,수서지 CCTV케이블 보수 및 타공사,서울교통공사,서울,26113870.0,26103400.0,+3% ~ -3%,0.0,87.745,843.0,기,-0.04010,
20141121865-00,2014,경부선 석수역부근 철도횡단 지하차도 설치에 따른 지장통신선로 복구공사,한국철도공사,서울,49700000.0,48299750.0,+0% ~ -4%,0.0,87.745,871.0,기,-2.81741,
20141121177-00,2014,2014년 임대시설물 관리사업소 조성 정보통신공사(뚝섬),서울교통공사,서울,46841300.0,47111300.0,+3% ~ -3%,0.0,87.745,923.0,기,0.57641,
20141121130-00,2014,"2014년 신설 서비스센터 조성 정보통신공사(구의, 교대2역)",서울교통공사,서울,19982000.0,19894375.0,+3% ~ -3%,0.0,87.745,779.0,기,-0.43852,
20141120811-00,2014,"2014년 신설 서비스센터 조성 정보통신공사(옥수,한성대입구역)",서울교통공사,서울,48463140.0,47958475.0,+3% ~ -3%,0.0,87.745,921.0,기,-1.04134,
20141104067-00,2014,서울금천우체국 건립 정보통신공사,서울지방조달청/미래창조과학부,서울,580645000.0,580253125.0,+2% ~ -2%,0.0,86.745,830.0,기/협정,-0.06749,
20141116743-00,2014,선덕중학교 방송시설 통신공사 (긴급공고),서울특별시북부교육청,서울,107286000.0,106510100.0,+2% ~ -2%,0.0,87.745,923.0,기,-0.72321,
20141119871-00,2014,"녹번,쌍문역 변전실 개량공사에 따른 정보통신공사",서울교통공사,서울,10843630.0,10812250.0,+3% ~ -3%,0.0,87.745,554.0,기,-0.28939,
E01-14-06926,2014,성서지사 배전지능화 자가망 시설공사,한국전력공사,서울,63887335.0,64396087.0,+2.5% ~ -2.5%,0.0,87.745,663.0,,0.79632,
20141119009-00,2014,정부서울청사 CCTV 설비 개선공사 (긴급공고),행정자치부,서울,62550000.0,62775375.0,+2% ~ -2%,0.0,87.745,874.0,기,0.36031,
20141118774-00,2014,누에다리 경관조명 시설물 보수공사,서울특별시,서울,41100000.0,41098625.0,+3% ~ -3%,0.0,87.745,754.0,기,-0.00335,
20141115928-00,2014,경부선 용산역외 2개역 비상게이트통화장치 리모트장치 신설 타공사,한국철도공사,서울/경기,11500000.0,11334300.0,+0% ~ -4%,0.0,87.745,1008.0,기,-1.44087,
20141112946-00,2014,장난감도서관 및 직장어린이집설치 통신공사,서울특별시,서울,29348000.0,29392825.0,+3% ~ -3%,0.0,87.745,867.0,기,0.15273,
20141111750-00,2014,2014년 CCTV 통신망 구축 공사,서울특별시,서울,448140000.0,453351900.0,+3% ~ -3%,0.0,86.745,875.0,기,1.16300,
20141110759-00,2014,보라매청소년수련관 전화주장치교체 및 연결포트외 설치공사 (긴급공고),시립보라매청소년센터,서울,18150000.0,17927425.0,+3% ~ -3%,0.0,87.745,681.0,,-1.22631,
20141112184-02,2014,이화미디어고 방송시설개선 공사 (공고),서울특별시교육청,서울/경기,120769000.0,121043200.0,+2% ~ -2%,0.0,87.745,1662.0,정,0.22704,
20141112617-00,2014,2014년 공원내 범죄예방용 CCTV 설치공사 (긴급공고),서울특별시,서울,146790000.0,147284750.0,+3% ~ -3%,0.0,87.745,514.0,,0.33704,
1402576-00,2014,(긴급)서울삼전 아파트(도시형생활주택) 정보통신공사 1공구(행복주택 49호),한국토지주택공사,서울,185123000.0,179911000.0,0% ~ -6%,0.0,87.745,793.0,,-2.81543,
20141106379-00,2014,관악드림타운 세대 인터폰  교체공사,서울주택도시공사,서울,157388000.0,157089025.0,+3% ~ -3%,0.0,87.745,867.0,기,-0.18997,
E01-14-06859,2014,송파 등 3개 전력구 감시시스템 설치공사,한국전력공사,서울,42125939.0,42216634.0,+2.5% ~ -2.5%,0.0,87.745,275.0,협정,0.21529,
20141110692-00,2014,"2014년도 석면 해체,제거에 따른 정보통신공사",서울교통공사,서울,61274900.0,60869300.0,+3% ~ -3%,0.0,87.745,837.0,기,-0.66194,
20141110648-00,2014,2014년도 기술분야 조직개편에 따른 정보통신공사,서울교통공사,서울,40148300.0,39851125.0,+3% ~ -3%,0.0,87.745,811.0,,-0.74020,
20141103944-00,2014,"5,7호선 58역 승강장안전문 정위치정차검지장치 이설보완 공사",서울특별시,서울/경기,18948064.0,19114350.0,+3% ~ -3%,0.0,87.745,1148.0,기,0.87758,
20141104497-00,2014,2014년 제10차 방범용 CCTV회선 설치 공사,서울특별시,서울,263164000.0,259758700.0,+3% ~ -3%,0.0,87.745,907.0,기,-1.29399,
20141101840-00,2014,양천주민편익시설 증축 및 리모델링 통신공사,서울특별시,서울,296070000.0,298738375.0,+3% ~ -3%,0.0,87.745,925.0,,0.90126,
20141107233-00,2014,무단투기 단속장비(영상감시장치) 설치공사 (긴급공고),서울특별시,서울,72000000.0,72219275.0,+3% ~ -3%,0.0,87.745,461.0,,0.30454,
E01-14-06818,2014,무인변전소 감시정보시스템 보강공사,한국전력공사,서울,13903107.0,13984688.0,+2.5% ~ -2.5%,0.0,87.745,375.0,,0.58678,
20141107275-00,2014,경부선 독산역외1역 승강설비 설치에 따른 통신설비 신설공사,한국철도공사,서울/경기,76200000.0,75030575.0,+0% ~ -4%,0.0,87.745,1784.0,기,-1.53468,
20141106674-00,2014,상현중 급식실 및 학생식당 증축 통신공사,서울특별시교육청,서울,21000000.0,21075900.0,+3% ~ -3%,0.0,87.745,758.0,기,0.36142,
20141102880-00,2014,고정식 교통무인단속기 이전 설치,서울지방조달청/경찰청,서울,39911000.0,40036250.0,+2% ~ -2%,0.0,87.745,44.0,기/정/연기/협정/여성,0.31382,
20141104564-00,2014,전쟁기념관 회랑지역 CCTV 설치 공사,국방부,서울,29000000.0,29068475.0,+2% ~ -2%,0.0,87.745,41.0,,0.23612,
20141104278-00,2014,수색차량 위험물저장소 보안CCTV 설치공사,한국철도공사,서울,19110000.0,18522000.0,+0% ~ -4%,0.0,87.745,703.0,기,-3.07693,
20141024046-01,2014,CCTV 및 주차관제시스템 구매.설치 (정정공고),정보통신공제조합,서울/인천,35819872.0,35507475.0,+2% ~ -2%,0.0,87.745,64.0,기/정,-0.87214,
20141102132-00,2014,2014년 임대아파트 CCTV설치 정보통신공사 (긴급공고),서울주택도시공사,서울,235598000.0,236359625.0,+3% ~ -3%,0.0,87.745,895.0,기,0.32327,
E01-14-06669,2014,사당인출 전력구 감시시스템 설치공사,한국전력공사,서울,39077468.0,39208465.0,+2.5% ~ -2.5%,0.0,87.745,258.0,협정,0.33522,
20141101518-00,2014,호암2터널 재방송설비 동축케이블 교체공사,서울특별시,서울,65040000.0,65259875.0,+3% ~ -3%,0.0,87.745,958.0,기,0.33806,
20141102262-00,2014,시설현대화사업 1단계 지하철 연결통로 설치 및 환기구 이설 정보통신 공사 (긴급공고),서울특별시농수산식품공사,서울,75562000.0,75619650.0,+3% ~ -3%,0.0,87.745,861.0,,0.07629,
20141027365-00,2014,2014년 여의도역외 14역 청소근로자 환경개선 통신공사,서울특별시,서울,16592000.0,16750500.0,+3% ~ -3%,0.0,87.745,644.0,기,0.95527,
20141027674-00,2014,항동어린이집 신축 통신공사,서울특별시,서울,54417000.0,54100775.0,+3% ~ -3%,0.0,87.745,938.0,,-0.58112,
2014-13414,2014,00부대 광케이블 구축공사,제1596부대,서울,106010580.0,103712892.0,0% ~ -3%,0.0,87.745,648.0,,-2.16742,
20141023960-00,2014,7호선 열차무선시스템(VHF) 철거공사,서울특별시,서울/경기,13946064.0,13815625.0,+3% ~ -3%,0.0,87.745,1214.0,기,-0.93532,
E01-14-05716,2014,재난대비지중송전설비 감시시스템보강공사,한국전력공사,서울,113074776.0,113994838.0,+2.5% ~ -2.5%,0.0,87.745,233.0,,0.81367,
20141023922-00,2014,2014년 직원복지 후생시설(식당) 개량공사(통신전자),서울특별시,서울/경기,17250604.0,17105400.0,+3% ~ -3%,0.0,87.745,1344.0,기,-0.84174,
20141019715-00,2014,서울서부광역등기소청사 신축 통신공사 (긴급공고),서울지방조달청/대법원,서울,402178000.0,404478500.0,+2% ~ -2%,0.0,86.745,836.0,기/협정,0.57201,
20141025256-00,2014,서울대학교 생명공학공동연구원 실험실 리노베이션 통신공사,서울대학교,서울,20523470.0,20641325.0,+2% ~ -2%,0.0,87.745,789.0,,0.57424,
E01-14-05759,2014,천왕구로등 3개 전력구감시시스템 설치공사,한국전력공사,서울,79809711.0,79395778.0,+2.5% ~ -2.5%,0.0,87.745,332.0,협정,-0.51865,
20141025021-00,2014,본관동 주차장 주차유도시스템 및 관제시스템 설치공사,한국방송통신대학교,서울/인천/경기,38750000.0,38669325.0,+2% ~ -2%,0.0,87.745,1715.0,기,-0.20820,
20141023949-00,2014,두레건축 건립 신축 정보통신공사 시행,서울특별시,서울,41168000.0,40769325.0,+3% ~ -3%,0.0,87.745,882.0,기,-0.96841,
20141022182-00,2014,김포공항 주차대행 전용 임시주차장 조성 정보통신공사,한국공항공사,서울,127017000.0,127043400.0,+2% ~ -2%,0.0,87.745,857.0,기,0.02078,
20141022045-00,2014,동서울우편집중국 CCTV 증설 및 이설공사,과학기술정보통신부,서울/경기,34100000.0,34284700.0,+2% ~ -2%,0.0,87.745,1640.0,,0.54164,
20141023613-00,2014,망원동월드컵시장 CCTV 설치(교체)공사,서울특별시,서울,27907000.0,28113550.0,+3% ~ -3%,0.0,87.745,440.0,,0.74013,
20141015213-03,2014,중랑청소년수련관CCTV카메라교체 및 신설공사 (긴급공고) (정정공고),중랑청소년수련관,서울,40369000.0,39834675.0,+3% ~ -3%,0.0,87.745,564.0,기/정,-1.32361,
20141017587-00,2014,2014년 5호선 목동 등 7역 전자설비 이설공사,서울특별시,서울/경기,31856640.0,31694225.0,+3% ~ -3%,0.0,87.745,1506.0,기,-0.50984,
20141015327-02,2014,예술의전당 서예박물관 리모델링공사(보통신) (공고),예술의전당,서울,434500000.0,432658850.0,+2% ~ -2%,0.0,86.745,819.0,정,-0.42374,
20141019439-00,2014,"2014년 (구)월드컵상가 리모델링 통신공사(3,4호선)",서울교통공사,서울,48015000.0,48211800.0,+3% ~ -3%,0.0,87.745,950.0,기,0.40987,
20141019399-00,2014,"2014년 (구)월드컵상가 리모델링 통신공사(1,2호선)",서울교통공사,서울,35637800.0,35687800.0,+3% ~ -3%,0.0,87.745,945.0,기,0.14030,
20141019134-00,2014,목동실버복지문화센터 건립 정보통신공사 (긴급공고),서울특별시,서울,83061000.0,82663175.0,+3% ~ -3%,0.0,87.745,985.0,,-0.47896,
20141016246-00,2014,고척근린공원 지하주차장 신축통신공사,서울특별시,서울,125510000.0,125826975.0,+3% ~ -3%,0.0,87.745,940.0,기,0.25254,
20141015649-00,2014,돈암삼성 외 1개단지 방송설비 교체공사,서울주택도시공사,서울,29348000.0,29044675.0,+3% ~ -3%,0.0,87.745,818.0,기,-1.03355,
20141016611-00,2014,황학동 주민센터 개보수 통신공사,서울특별시,서울,40887000.0,40911175.0,+3% ~ -3%,0.0,87.745,953.0,,0.05912,
20141016586-00,2014,약수동 주민센터 개보수 통신공사,서울특별시,서울,47987000.0,48430450.0,+3% ~ -3%,0.0,87.745,954.0,,0.92410,
20141013328-00,2014,G밸리 길 찾 안내시스템 설치공사,서울특별시,서울,378690000.0,379225900.0,+3% ~ -3%,0.0,86.745,55.0,기,0.14151,
20141012086-00,2014,서울시립대 음악관 건립 통신공사(장기계속),서울특별시/서울특별시,전국/서울,598357000.0,596584400.0,+3% ~ -3%,0.0,86.745,912.0,기/의무,-0.29625,
20141012430-00,2014,장위동 생활환경개선사업 CCTV 설치공사,서울특별시,서울,54018000.0,53898275.0,+3% ~ -3%,0.0,87.745,955.0,기,-0.22164,
20141009881-00,2014,월곡배수지 CCTV카메라 및 NVR 설치공사,서울특별시,서울,61429000.0,61271175.0,+3% ~ -3%,0.0,87.745,948.0,기,-0.25693,
20141012594-00,2014,쌍문119안전센터 종합전산시스템 구축 공사,서울특별시,서울,70739000.0,70048625.0,+3% ~ -3%,0.0,87.745,304.0,기,-0.97595,
20141009410-00,2014,7호선 상동외 1역 임대상가 조성공사(통신분야),서울특별시,서울/경기,5639328.0,5625025.0,+3% ~ -3%,0.0,87.745,649.0,기,-0.25363,
20141011998-00,2014,2014년 통신케이블 수선공사,서울교통공사,서울,56124200.0,56183750.0,+3% ~ -3%,0.0,87.745,968.0,기,0.10610,
20141011623-00,2014,"마곡엠밸리 1,2,3,4,6,15단지 내 구립어린이집 통신공사",서울특별시,서울,74491000.0,74328275.0,+3% ~ -3%,0.0,87.745,974.0,기,-0.21845,
20141010049-00,2014,강남환경자원센터 화재복구 공사(통신) (긴급공고),서울특별시,서울,60280000.0,59750325.0,+3% ~ -3%,0.0,87.745,931.0,기,-0.87870,
20141009483-00,2014,군자기지 검수동 1층 기능실 재배치 정보통신공사,서울교통공사,서울,5082800.0,5052050.0,+3% ~ -3%,0.0,87.745,381.0,,-0.60499,
20141008704-00,2014,2014년 차량지 환경개선 정보통신공사,서울특별시,서울/경기,40796800.0,40459575.0,+3% ~ -3%,0.0,87.745,1688.0,기,-0.82660,
20141010194-00,2014,다산관 및 하이테크관 공간변경 통신보수공사,서울과학기술대학교,서울,29502000.0,29365625.0,+2% ~ -2%,0.0,87.745,867.0,,-0.46226,
20141010131-00,2014,이러닝 제작 공개 스튜디오 통신보수공사,서울과학기술대학교,서울,14520000.0,14455575.0,+2% ~ -2%,0.0,87.745,735.0,,-0.44370,
