공고번호,기초금액,A값,투찰률(%),참여업체수,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한
20140800226-00,506082000.0,0.0,86.745,833.0,+2% ~ -2%,기/협정,서울남부지방법원 광역등기소 통신공사,서울지방조달청/대법원,서울
20140722198-02,468000000.0,0.0,85.495,650.0,+2% ~ -2%,정,수협중앙회 연수원 방송장비 교체공사 (공고),수협중앙회,서울/경기/충남/세종
20140724673-00,32000000.0,0.0,87.745,106.0,+2% ~ -2%,기,의원회관 방문객주차장 주차관제장치 설치공사,국회,서울
20140714475-01,61485710.0,0.0,87.745,432.0,+2% ~ -2%,기/정,서울광진경찰서 임시청사 정보통신장비 이설 및 선로설치공사 (정정공고),경찰청,서울
20140626512-00,666043000.0,0.0,86.745,811.0,+2% ~ -2%,기/협정,서울법원종합청사 어린이집 및 독신자숙소 신축 통신공사,서울지방조달청/대법원,서울
20140715221-00,28280000.0,0.0,87.745,735.0,+2% ~ -2%,기,서울성북우체국 키폰교환 교체공사,과학기술정보통신부,서울
20140709331-02,87593000.0,0.0,87.745,236.0,+2% ~ -2%,기/정/협정,교사동(본관) 구조보강공사(전기) (긴급공고) (정정공고),서울특별시중부교육청,서울
20140711835-00,50000000.0,0.0,87.745,883.0,+2% ~ -2%,기,국회 상임위원회 소회의실 음향설비 설치공사,국회,서울
20140709155-01,22506000.0,0.0,87.745,786.0,+2% ~ -2%,정,수유2파출소 신축공사(통신) (긴급공고) (공고),경찰청,서울
20140705765-00,88550000.0,0.0,87.745,944.0,+2% ~ -2%,,서울교육대학교 교내 주차장 CCTV 설치 공사,서울교육대학교,서울
20140700463-00,35876000.0,0.0,87.745,944.0,+2% ~ -2%,,예일디자인고등학교 급식실 및 식당 증축 통신공사 (긴급공고),서울특별시교육청,서울
20140623916-00,76077000.0,0.0,87.745,942.0,+2% ~ -2%,기/협정,공연 실황 중계 광케이블 공사,서울지방조달청/문화체육관광부,서울
20140624686-00,36033000.0,0.0,87.745,930.0,+2% ~ -2%,,성보고등학교 우정관시청각실개선정보통신공사,서울특별시교육청,서울
20140607152-00,29149120.0,0.0,87.745,860.0,+2% ~ -2%,,테니스경기장 사무공간 개보수 통신공사,서울올림픽기념국민체육진흥공단,서울
20140601741-00,44264000.0,0.0,87.745,1546.0,+2% ~ -2%,기,한국의집 고품격 공간조성(정보통신)공사(긴급) (긴급공고),한국문화재재단,서울/경기
20140529981-01,22000000.0,0.0,87.745,806.0,+2% ~ -2%,정,서울도봉경찰서 창동지구대리모델링(통신설비공사) (긴급공고) (공고),경찰청,서울
20140527400-00,66600000.0,0.0,87.745,956.0,+2% ~ -2%,기/협정,서울과수 청사 재배치 리모델링 통신공사,서울지방조달청/안전행정부,서울
20140528867-01,50000000.0,0.0,87.745,819.0,+2% ~ -2%,기/정,국회 상임위원회 소회의실 음향장비 설치공사 (정정공고),국회,서울
20140510536-00,1267530000.0,0.0,86.745,726.0,+2% ~ -2%,의무,김포공항 비즈니스제트항공기 지원센터(FBO) 신축 정보통신공사,한국공항공사,전국/서울
20140517672-00,73420000.0,0.0,87.745,836.0,+2% ~ -2%,기/협정,고정식 교통무인단속기 이전 설치,서울지방조달청/경찰청,서울
20140517741-00,414850000.0,0.0,86.745,839.0,+2% ~ -2%,기,한국공항공사 서울지역본부 사무실 이전 정보통신공사,한국공항공사,서울
20140502897-00,205700000.0,0.0,87.745,876.0,+2% ~ -2%,,청운관(구관) 리모델링 통신공사 (긴급공고),서울과학기술대학교,서울
20140503715-00,11510000.0,0.0,87.745,596.0,+2% ~ -2%,기,경부선 구로역 역사개량에 따른 통신설비 개량타공사,한국철도공사,서울
20140436561-01,25149740.0,0.0,87.745,861.0,+2% ~ -2%,기/정,체조경기장 시설환경개선 정보통신공사 (정정공고),서울올림픽기념국민체육진흥공단,서울
20140440006-00,28539000.0,0.0,87.745,763.0,+2% ~ -2%,기,김포공항 레이더관제장비실 내부개량 정보통신공사,한국공항공사,서울
20140433347-00,45314000.0,0.0,87.745,908.0,+2% ~ -2%,기,고궁박물관 사무공간 이전공사(통신),문화재청,서울
20140436244-00,41258000.0,0.0,87.745,807.0,+2% ~ -2%,,입학관리본부 전산망 전용회선 구축 공사 (긴급공고),서울대학교,서울
20140428855-00,87710000.0,0.0,87.745,1588.0,+2% ~ -2%,기,경부선 남영역외 10개소 열차행선안내장치 보수공사,한국철도공사,서울/경기
20140431300-00,54283180.0,0.0,87.745,848.0,+2% ~ -2%,,올림픽공원 플라자 편익시설 A-1동 개선 정보통신공사,서울올림픽기념국민체육진흥공단,서울
20140426790-00,57290000.0,0.0,87.745,1498.0,+2% ~ -2%,기,안산선 중앙역외 5개소 시각장애인용 음성유도 신설 공사,한국철도공사,서울/경기
20140421094-00,76890000.0,0.0,87.745,1025.0,+2% ~ -2%,기,(긴급)서울교육대학교 교내 CCTV 시스템 개선 공사 (긴급공고),서울교육대학교,서울/인천/경기
20140329498-00,760241000.0,0.0,86.745,895.0,+2% ~ -2%,기/의무,경호종합훈련장 신축 통신공사,서울지방조달청/대통령경호실,전국/서울
20140406573-00,37946000.0,0.0,87.745,852.0,+2% ~ -2%,기,김포공항 이동지역 주유소 신축 정보통신공사,한국공항공사,서울
20140406951-00,48337520.0,0.0,87.745,890.0,+2% ~ -2%,기,체육단체 이전 사무공간 개보수 통신공사,서울올림픽기념국민체육진흥공단,서울
20140313243-00,150916000.0,0.0,87.745,848.0,+2% ~ -2%,기/협정,국립전통예술고등학교 전공실 및 특별교실 증축 통신공사 (긴급공고),서울지방조달청/문화체육관광부,서울
20140310239-00,126600000.0,0.0,87.745,292.0,+2% ~ -2%,기,국회 경비대 신축 주차관제장치 설치공사,국회,서울/인천/경기
20140237851-00,1053581000.0,0.0,86.745,883.0,+2% ~ -2%,기/의무,성북세무서 청사신축 통신공사,서울지방조달청/국세청,전국/서울
20140306860-00,326289000.0,0.0,87.745,876.0,+2% ~ -2%,기,김포공항 국내선 지하철 연결통로 개선 정보통신공사,한국공항공사,서울
20140305529-00,17400000.0,0.0,87.745,650.0,+2% ~ -2%,기,성동구치소 근무자실 영상계호장비 설치,법무부,서울
20140236178-00,188424000.0,0.0,87.745,840.0,+2% ~ -2%,,김포공항 국제선 4층 개량 및 기타 정보통신공사,한국공항공사,서울
20140234486-00,60000000.0,0.0,87.745,942.0,+2% ~ -2%,기,국회 제3어린이집 신축 통신 인입 배관공사,국회,서울
20140230082-01,47500000.0,0.0,87.745,382.0,+2% ~ -2%,정,전수회관 보안장비(CCTV) 개선 공사 업체선 입찰 변경공고(긴급) (공고),한국문화재재단,서울/경기
20140227820-00,200000000.0,0.0,87.745,870.0,+2% ~ -2%,기,방사선융합연구센터 신축공사 / 통신,한국원자력의학원,서울
20140227105-00,133243000.0,0.0,87.745,689.0,+2% ~ -2%,기,미술관(151동)오디토리엄 영상장비 구매 설치 (긴급공고),서울대학교,서울
20140219168-00,15320000.0,0.0,87.745,641.0,+2% ~ -2%,기,경의선 수색 운전신호실 개수에 따른 통신설비 신설 타공사,한국철도공사,서울
20140209645-00,24412000.0,0.0,87.745,763.0,+2% ~ -2%,,"aT센터 1, 2전시장 통신 간선케이블 교체 공사",농수산물유통공사,서울
20140207970-00,52961000.0,0.0,88.0,452.0,+2% ~ -2%,기,2014년 통신시설 유지보수 용역,서울과학기술대학교,서울
20140119866-00,38378000.0,0.0,87.745,876.0,+2% ~ -2%,기,응급외상전용 중환자실 개설공사(통신),국립중앙의료원,서울
20140121509-01,66526000.0,0.0,87.745,654.0,+2% ~ -2%,기/정,문화관(73동)중강당 인터넷방송 시스템 설치 공사 (긴급공고) (정정공고),서울대학교,서울
20140101958-00,97067000.0,0.0,87.745,884.0,+2% ~ -2%,,미술관(151동)오디토리엄 음향설비 개선 공사 (긴급공고),서울대학교,서울
20131204897-00,4478688000.0,0.0,86.745,410.0,+2% ~ -2%,기/의무,코레일유통(주) 본사사옥 건립공사(통신공사) (긴급공고),서울지방조달청/코레일유통,전국/서울
20131225790-00,12900000.0,0.0,85.0,514.0,+2% ~ -2%,기,무인감시시스템 보강공사,한국방송공사,서울
20151220520-00,64317000.0,0.0,87.745,998.0,+2% ~ -2%,,"관악서울대학교치과병원 4층, 5층 내부재배치 공사(통신)",서울대학교치과병원,서울
20151221770-00,225753000.0,0.0,87.745,381.0,+2% ~ -2%,협정,행정관(60동) 로비 환경개선 전시공간조성 및 기타 통신공사 (긴급공고),서울대학교,서울/경기
20151221999-00,18436000.0,0.0,87.745,1435.0,+2% ~ -2%,기,(긴급)판교 IoT혁신센터 신규 구축공사(정보통신공사),한국인터넷진흥원,서울/경기
20151222168-00,10824000.0,0.0,87.745,521.0,+2% ~ -2%,기,영등포역파출소 청사 신축공사(통신) (긴급공고),경찰청,서울
20151220833-00,21142000.0,0.0,87.745,794.0,+2% ~ -2%,,당산파출소 청사 신축공사(통신) (긴급공고),경찰청,서울
20151124438-00,1125554000.0,0.0,86.745,850.0,+2% ~ -2%,기/의무,광복회관 재건축 건립사업 통신공사,서울지방조달청/국가보훈처,전국/서울
20151216443-00,89705000.0,0.0,87.745,910.0,+2% ~ -2%,기/연기,서울교대부설초등학교 가설교사 통신공사 (긴급공고),서울교육대학교,서울
20151216332-00,29387000.0,0.0,87.745,796.0,+2% ~ -2%,기/정/연기/협정,용신지구대 신축공사 (통신) (긴급공고),경찰청,서울
20151204705-00,314056000.0,0.0,87.745,862.0,+2% ~ -2%,기/협정,네트워크 카메라(CCTV) 신규 설치 및 교체 공사,서울지방조달청/서울과학기술대학교,서울
20151126000-00,622088000.0,0.0,86.745,845.0,+2% ~ -2%,기/협정,서초동교사 증축 및 리모델링 정보통신공사,서울지방조달청/문화체육관광부,서울
20151118466-00,263979000.0,0.0,87.745,868.0,+2% ~ -2%,기/협정,"국립국악원 우면당 무대음향, 무대영상용 통신 공사",서울지방조달청/문화체육관광부,서울
20151212402-00,17988000.0,0.0,87.745,730.0,+2% ~ -2%,협정,인수파출소 신축공사(통신) 입찰 공고,경찰청,서울
20151214172-00,227042000.0,0.0,87.745,903.0,+2% ~ -2%,기/협정,서울동대문경찰서 민원동 신축 통신공사 (긴급공고),경찰청,서울
20151213928-00,578820000.0,0.0,86.745,787.0,+2% ~ -2%,,한국환경산업기술원 이전 청사 리모델링 및 증축공사(정보통신) (긴급공고),한국환경산업기술원,서울
20151208156-00,145229000.0,0.0,87.745,907.0,+2% ~ -2%,기/협정,물품창고 경찰악대 신축 통신공사,서울지방조달청/경찰청,서울
20151126490-00,461225000.0,0.0,86.745,857.0,+2% ~ -2%,기/협정,남부학습센터 신관 교육원 환경개선공사(통신),서울지방조달청/한국방송통신대학교,서울
20151212388-00,13264706.0,0.0,87.745,602.0,+2% ~ -2%,기/연기,강남고속터미널 스마트워크센터 통신 공사,한국지능정보사회진흥원,서울
20151129757-00,9680000.0,0.0,87.745,439.0,+2% ~ -2%,,동일여자고등학교 급식실 환경개선공사(통신) (긴급공고),서울특별시교육청,서울
20151128155-00,9983000.0,0.0,87.745,110.0,+2% ~ -2%,기,감염PC 사이버 치료체계 운영환경 개선 용역,한국인터넷진흥원,서울
20151124163-00,44433000.0,0.0,87.745,940.0,+2% ~ -2%,,불암학사 승강기 설치공사(통신),서울과학기술대학교,서울
20151120286-00,79054000.0,0.0,87.745,1012.0,+2% ~ -2%,기/협정,국립국악원 우면당 리모델링 공사(통신),서울지방조달청/문화체육관광부,서울
20151114300-00,204330000.0,0.0,87.745,1701.0,+2% ~ -2%,기,광명스피돔 공청설비 공사,서울올림픽기념국민체육진흥공단,서울/경기
20151126491-00,37590000.0,0.0,87.745,871.0,+2% ~ -2%,기,국회 어린이집 CCTV 교체공사,국회,서울
20151117889-00,70678000.0,0.0,87.745,1005.0,+2% ~ -2%,기/협정,본관 행정실 및 학과사무실 재배치 통신공사,서울지방조달청/한국체육대학교,서울
20151116616-00,268000000.0,0.0,87.745,919.0,+2% ~ -2%,기,병원동 3층 리노베이션 공사(통신),한국원자력의학원,서울
20151113231-00,23240014.0,0.0,87.745,791.0,+2% ~ -2%,,소상공인 사관학교 체험점포 통신공사(서울-상록회관) (긴급공고),소상공인시장진흥공단,서울
20151105578-00,23200000.0,0.0,85.0,791.0,+2% ~ -2%,기,KBS어린이집 CCTV 설치공사 (긴급공고),한국방송공사,서울
20151100862-00,158844000.0,0.0,87.745,909.0,+2% ~ -2%,기/협정,한국정보화진흥원 서울사무소 업무환경개선 통신공사,서울지방조달청/한국정보화진흥원,서울
20151106047-00,70991200.0,0.0,87.745,1913.0,+2% ~ -2%,,신형무인발매기 투표소 보수 및 환경개선 통신공사,서울올림픽기념국민체육진흥공단,서울/경기
20151103346-01,17000000.0,0.0,87.745,490.0,+2% ~ -2%,정,분석 사무 공간 네트워크 보안강화 용역 (공고),한국인터넷진흥원,서울
20151102291-00,660402000.0,0.0,86.745,868.0,+2% ~ -2%,기,서울대학교 반려동물병원 증축 통신공사 (긴급공고),서울대학교,서울
20151104027-00,221400000.0,0.0,87.745,897.0,+2% ~ -2%,,관악캠퍼스 CCTV 설치공사 (긴급공고),서울대학교,서울
20151027045-00,19602000.0,0.0,87.745,823.0,+2% ~ -2%,기,여주교도소 운동장 CCTV 카메라 설치 공사,법무부,서울/경기
20151026846-00,68636400.0,0.0,87.745,974.0,+2% ~ -2%,기,2015년 북한산 주차장 CCTV 정비공사,국립공원관리공단,서울
20151029138-00,7495098.0,0.0,87.745,355.0,+2% ~ -2%,기,공공데이터 오픈랩 설치 정보통신공사,한국지능정보사회진흥원,서울
20151021195-00,216382000.0,0.0,87.745,919.0,+2% ~ -2%,,김포공항 항공조종인력 양성센터 정보통신공사,한국공항공사,서울
20151017157-00,46696078.0,0.0,87.745,951.0,+2% ~ -2%,기,[서울대학교병원] 소아별관 6층 교수실 환경개선공사 [통신],서울대학교병원,서울
20151015868-00,23100000.0,0.0,87.745,794.0,+2% ~ -2%,기,한국국방연구원 직장어린이집 리모델링공사(정보통신분야) (긴급공고),국방부,서울
20150925093-00,1232639000.0,0.0,86.745,807.0,+2% ~ -2%,기/의무,서울영동우체국 건립 정보통신공사,서울지방조달청/미래창조과학부,전국/서울
20151000065-00,1356411000.0,0.0,86.745,805.0,+2% ~ -2%,기/의무,신개념치료기술개발 플랫폼구축사업 복합연구센터 신축공사(정보통신),서울지방조달청/한국원자력의학원,전국/서울
20151008319-00,159983000.0,0.0,87.745,121.0,+2% ~ -2%,기/정,안심응급실 개설공사(통신) (재입찰),국립중앙의료원,서울
20151009081-00,56650000.0,0.0,87.745,924.0,+2% ~ -2%,기,한국무역보험공사 직장어린이집 확장공사(정보통신공사),한국무역보험공사,서울
20151001847-00,26400000.0,0.0,87.745,877.0,+2% ~ -2%,기,서울예고 CCTV설치공사,서울특별시교육청,서울
20150924544-01,52000000.0,0.0,87.745,590.0,+2% ~ -2%,정,서울서부경찰서 임시청사 보통신장비 이설 및 선로설치 공사 (공고),경찰청,서울
20150920695-00,30799000.0,0.0,87.745,1679.0,+2% ~ -2%,,국가격리병실(음압) 설치공사(정보통신),국민건강보험공단,서울/경기
20150918343-00,161880000.0,0.0,87.745,897.0,+2% ~ -2%,기,김포공항 경항공 계류장 및 타지역 CCTV 설치공사,한국공항공사,서울
20150916512-00,290000000.0,0.0,87.745,695.0,+2% ~ -2%,기,임시사무소 설치공사(통신),국민건강보험공단,서울
20150916134-01,34870000.0,0.0,87.745,879.0,+2% ~ -2%,기/정/협정,중화지구대 신축공사 (통신) (정정공고),경찰청,서울
20150914924-00,25006000.0,0.0,87.745,774.0,+2% ~ -2%,기,음압수술실 개설공사(통신),국립중앙의료원,서울
20150913337-00,92828000.0,0.0,87.745,899.0,+2% ~ -2%,기/협정,국회 외곽 출입문 CCTV 카메라 설치공사,국회,서울
20150911725-02,59950000.0,0.0,87.745,954.0,+2% ~ -2%,기/정,용강지구대 신축관련 통신공사 (정정공고),경찰청,서울
20150911396-01,109670000.0,0.0,87.745,929.0,+2% ~ -2%,기/정,서울과학기술대학교 인재개발원 신축공사(통신) (정정공고),서울과학기술대학교,서울
20150820578-00,211091000.0,0.0,87.745,1834.0,+2% ~ -2%,기/협정,전파관리시설 이전설치공사(수도권 4개소),서울지방조달청/미래창조과학부,서울/인천/경기
20150807526-00,238983000.0,0.0,87.745,887.0,+2% ~ -2%,기/협정,본부 잔류시설 이전 리모델링 공사(통신),서울지방조달청/도로교통공단,서울
20150901637-00,50993000.0,0.0,87.745,931.0,+2% ~ -2%,,청사 민원동 신축 통신공사,경찰청,서울
20150816315-00,803352000.0,0.0,86.745,905.0,+2% ~ -2%,기,사격장 및 컬링장 건립 통신공사,대한장애인체육회,서울/경기
20150811772-00,52347000.0,0.0,87.745,970.0,+2% ~ -2%,,행정대학원(57동) 지하층 환경개선 통신공사 (긴급공고),서울대학교,서울
20150810341-00,77429000.0,0.0,87.745,994.0,+2% ~ -2%,기,한국은행 본부 직장어린이집 증설공사(정보통신공사),한국은행,서울
20150808235-00,39781500.0,0.0,87.745,865.0,+2% ~ -2%,기,서울구로경찰서 가리봉파출소 신축공사(통신) (긴급공고),경찰청,서울
20150722065-00,26930000.0,0.0,87.745,741.0,+2% ~ -2%,기,조선의 궁궐 왕실의 생활 전시실 리노베이션 공사(통신),문화재청,서울
20150729458-00,307548200.0,0.0,87.745,1902.0,+2% ~ -2%,기,한국관광공사 서울사옥 리모델링 공사(통신) (긴급공고),한국관광공사,서울/인천/경기
20150727232-00,82906000.0,0.0,87.745,853.0,+2% ~ -2%,기/협정,교통단속장비 이전 및 검지선 재설치,서울지방조달청/경찰청,서울
20150724609-00,29260000.0,0.0,87.745,819.0,+2% ~ -2%,협정,효제파출소 신축공사(통신) (긴급공고),경찰청,서울
20150722396-00,27220000.0,0.0,87.745,825.0,+2% ~ -2%,협정,명륜파출소 신축공사(통신) 최종 (긴급공고),경찰청,서울
20150718826-00,157200000.0,0.0,87.745,869.0,+2% ~ -2%,기,경륜고객홀 용도변경 정보통신공사,서울올림픽기념국민체육진흥공단,서울
20150717451-00,27819000.0,0.0,87.745,869.0,+2% ~ -2%,기,재난안전안내 방송시스템 구축 통신공사(긴급) (긴급공고),서울과학기술대학교,서울
20150717642-00,18700000.0,0.0,87.745,365.0,+2% ~ -2%,,서울검찰청사 구치감 카메라 설치공사,법무부,서울
20150706224-00,43890000.0,0.0,87.745,957.0,+2% ~ -2%,기,상명초등학교 특별교실 증축공사 통신공사,서울특별시북부교육청상명초등학교,서울
20150711977-00,81600000.0,0.0,87.745,901.0,+2% ~ -2%,,인터넷침해대응센터 출입보안시설 등 물리적보안 강화를 위한 공사(정보통신공사),한국인터넷진흥원,서울
20150631845-00,39464000.0,0.0,87.745,873.0,+2% ~ -2%,,"aT센터 1, 2전시장 통신 간선케이블 교체공사",한국농수산식품유통공사,서울
20150620916-01,109186000.0,0.0,87.745,1714.0,+2% ~ -2%,정,학교법인 한민학원 관사 신축공사(통신설비)입찰공고 (긴급공고) (공고),학교법인,서울/경기
20150620134-01,336198000.0,0.0,86.745,116.0,+2% ~ -2%,기/정,한국은행 본부 및 지역본부 케이블공사 입찰 (정정공고),한국은행,서울
20150619857-00,54400000.0,0.0,87.745,1841.0,+2% ~ -2%,,산부인과 등 공간재배치 공사(정보통신),국민건강보험공단,서울/경기
20150511847-01,266596000.0,0.0,87.745,859.0,+2% ~ -2%,기/정/협정,국토발전전시관 리모델링 통신공사,서울지방조달청/국토교통부,서울
20150614546-00,280599000.0,0.0,87.745,872.0,+2% ~ -2%,기,서울대학교 UTP 케이블 교체 공사,서울대학교,서울
20150621197-00,24200000.0,0.0,87.745,764.0,+2% ~ -2%,,서울충정로우체국 임대공간 조성공사(통신),과학기술정보통신부,서울
20150613490-00,185460000.0,0.0,87.745,841.0,+2% ~ -2%,기/협정,한국행정연구원 불광동청사 리모델링공사(통신) (긴급공고),한국행정연구원,서울
20150510909-00,158742000.0,0.0,87.745,868.0,+2% ~ -2%,기/협정,서울북부지방법원 어린이집 및 독신자숙소 신축 공사(통신),서울지방조달청/대법원,서울
20150600998-02,22880000.0,0.0,87.745,803.0,+2% ~ -2%,정,불암지구대 대수선 통신 공사 (공고),경찰청,서울
20150522745-00,328540000.0,0.0,86.745,646.0,+2% ~ -2%,기/협정,국회 차량출입관제설비 교체 공사,서울지방조달청/국회,서울
20150529304-00,145090000.0,0.0,87.745,918.0,+2% ~ -2%,낙찰정정/기,서울대학교 미술대 50동 개.보수 통신공사 (긴급공고),서울대학교,서울
20150527015-01,92719000.0,0.0,87.745,883.0,+2% ~ -2%,정/협정,서울검찰청사 별관(구치감) 리모델링 2차공사(통신공사) (정정공고),대검찰청,서울
20150508017-00,371897000.0,0.0,86.745,870.0,+2% ~ -2%,기/협정,한국예탁결제원 서울사옥 그린리모델링 공사(통신),서울지방조달청/한국예탁결제원,서울
20150521363-00,251567000.0,0.0,87.745,845.0,+2% ~ -2%,기/협정,TIPS 캠퍼스 구축을 위한 공간조성공사(통신),서울지방조달청/사단법인,서울
20150524993-00,32934000.0,0.0,87.745,831.0,+2% ~ -2%,기/협정,답십리지구대 신축관련 통신공사 (긴급공고),경찰청,서울
20150512582-00,158965000.0,0.0,87.745,869.0,+2% ~ -2%,기/협정,"국립국악원 예악당 음향,조명실 이전공사(통신)",서울지방조달청/문화체육관광부,서울
20150520438-01,249810000.0,0.0,87.745,866.0,+2% ~ -2%,기/정,GKL 사옥 리모델링 공사(통신) (정정공고),그랜드코리아레저(주),서울
20150520617-00,24440000.0,0.0,88.0,254.0,+2% ~ -2%,,개성공업지구지원재단 네트워크망 분리 및 통합보안장비 구축,재단법인,서울/경기
20150520017-00,59750000.0,0.0,87.745,957.0,+2% ~ -2%,기,국회도서관 통신실 본배선반 교체공사,국회,서울
20150437291-00,260862000.0,0.0,87.745,865.0,+2% ~ -2%,기/협정,국민연금 본부잠실사옥 인테리어 통신공사,서울지방조달청/국민연금공단,서울
20150437073-00,208835000.0,0.0,87.745,893.0,+2% ~ -2%,기/협정,서울대학교 극한상태구조특성 실험시설동 증축공사(통신) (긴급공고),서울대학교,서울
20150435823-00,40000000.0,0.0,87.745,1746.0,+2% ~ -2%,,동서울제작센터 3차 확장공사(통신공사) (긴급공고),한국우편사업진흥원,서울/인천/경기
20150429315-00,33440000.0,0.0,87.745,866.0,+2% ~ -2%,협정,수유1파출소 신축공사(통신),경찰청,서울
